T1-AntesDeConectar;T2-AposConectar
1491939387377;1491939393531

Contador;IniLoop
0;1491939393535
1;1491939395741
2;1491939395840
3;1491939395911
4;1491939396025
5;1491939396128
6;1491939396286
7;1491939396413
8;1491939396496
9;1491939396601
10;1491939396764
11;1491939396882
12;1491939397002
13;1491939397130
14;1491939397222
15;1491939397330
16;1491939397430
17;1491939397581
18;1491939397698
19;1491939397813
20;1491939397931
21;1491939398050
22;1491939398169
23;1491939398285
24;1491939398402
25;1491939398529
26;1491939398622
27;1491939398733
28;1491939398834
29;1491939398937
30;1491939399098
31;1491939399219
32;1491939399342
33;1491939399462
34;1491939399582
35;1491939399702
36;1491939399824
37;1491939399946
38;1491939400062
39;1491939400177
40;1491939400294
41;1491939400410
42;1491939400526
43;1491939400642
44;1491939400766
45;1491939400852
46;1491939400966
47;1491939401077
48;1491939401187
49;1491939401286
50;1491939401438
51;1491939401554
52;1491939401671
53;1491939401790
54;1491939401906
55;1491939402027
56;1491939402146
57;1491939402262
58;1491939402378
59;1491939402494
60;1491939402611
61;1491939402734
62;1491939402850
63;1491939402966
64;1491939403082
65;1491939403198
66;1491939403319
67;1491939403438
68;1491939403554
69;1491939403674
70;1491939403790
71;1491939403907
72;1491939404026
73;1491939404143
74;1491939404262
75;1491939404378
76;1491939404494
77;1491939404610
78;1491939404726
79;1491939404838
80;1491939404954
81;1491939405070
82;1491939405188
83;1491939405306
84;1491939405422
85;1491939405538
86;1491939405662
87;1491939405778
88;1491939405894
89;1491939406006
90;1491939406122
91;1491939406239
92;1491939406359
93;1491939406478
94;1491939406595
95;1491939406714
96;1491939406831
97;1491939406950
98;1491939407070
99;1491939407190
100;1491939407310
101;1491939407430
102;1491939407551
103;1491939407670
104;1491939407790
105;1491939407910
106;1491939408030
107;1491939408143
108;1491939408262
109;1491939408382
110;1491939408499
111;1491939408619
112;1491939408738
113;1491939408858
114;1491939408979
115;1491939409098
116;1491939409218
117;1491939409338
118;1491939409458
119;1491939409578
120;1491939409699
121;1491939409819
122;1491939409938
123;1491939410058
124;1491939410183
125;1491939410277
126;1491939410375
127;1491939410527
128;1491939410648
129;1491939410769
130;1491939410887
131;1491939411007
132;1491939411127
133;1491939411246
134;1491939411367
135;1491939411486
136;1491939411607
137;1491939411727
138;1491939411846
139;1491939411967
140;1491939412087
141;1491939412207
142;1491939412327
143;1491939412447
144;1491939412567
145;1491939412687
146;1491939412808
147;1491939412930
148;1491939413011
149;1491939413163
150;1491939413283
151;1491939413403
152;1491939413523
153;1491939413643
154;1491939413763
155;1491939413883
156;1491939414003
157;1491939414123
158;1491939414244
