Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1491939004856;1491939006628
1;1491939006767;1491939006770
2;1491939006851;1491939006852
3;1491939006935;1491939006936
4;1491939007020;1491939007021
5;1491939007103;1491939007104
6;1491939007187;1491939007190
7;1491939007271;1491939007272
8;1491939007351;1491939007355
9;1491939007435;1491939007436
10;1491939007515;1491939007516
11;1491939007595;1491939007597
12;1491939007675;1491939007676
13;1491939007755;1491939007756
14;1491939007835;1491939007836
15;1491939007915;1491939007916
16;1491939007995;1491939007996
17;1491939008075;1491939008076
18;1491939008155;1491939008156
19;1491939008235;1491939008236
20;1491939008315;1491939008316
21;1491939008395;1491939008396
22;1491939008475;1491939008476
23;1491939008555;1491939008556
24;1491939008635;1491939008636
25;1491939008715;1491939008717
26;1491939008795;1491939008796
27;1491939008875;1491939008876
28;1491939008955;1491939008958
29;1491939009039;1491939009040
30;1491939009119;1491939009120
31;1491939009199;1491939009200
32;1491939009283;1491939009284
33;1491939009363;1491939009364
34;1491939009443;1491939009445
35;1491939009523;1491939009524
36;1491939009603;1491939009604
37;1491939009683;1491939009684
38;1491939009763;1491939009764
39;1491939009843;1491939009844
40;1491939009923;1491939009924
41;1491939010003;1491939010004
42;1491939010083;1491939010084
43;1491939010163;1491939010167
44;1491939010247;1491939010248
45;1491939010327;1491939010329
46;1491939010411;1491939010412
47;1491939010491;1491939010492
48;1491939010571;1491939010572
49;1491939010651;1491939010652
50;1491939010731;1491939010732
51;1491939010811;1491939010812
52;1491939010891;1491939010892
53;1491939010971;1491939010972
54;1491939011051;1491939011052
55;1491939011131;1491939011132
56;1491939011211;1491939011212
57;1491939011295;1491939011296
58;1491939011375;1491939011376
59;1491939011455;1491939011456
60;1491939011535;1491939011536
61;1491939011615;1491939011616
62;1491939011695;1491939011696
63;1491939011775;1491939011776
64;1491939011855;1491939011856
65;1491939011945;1491939011946
66;1491939012031;1491939012032
67;1491939012115;1491939012116
68;1491939012199;1491939012200
69;1491939012283;1491939012284
70;1491939012367;1491939012369
71;1491939012451;1491939012452
72;1491939012535;1491939012536
73;1491939012619;1491939012620
74;1491939012703;1491939012704
75;1491939012787;1491939012788
76;1491939012871;1491939012872
77;1491939012955;1491939012956
78;1491939013039;1491939013040
79;1491939013123;1491939013124
80;1491939013207;1491939013209
81;1491939013291;1491939013292
82;1491939013375;1491939013376
83;1491939013459;1491939013460
84;1491939013543;1491939013544
85;1491939013627;1491939013628
86;1491939013711;1491939013712
87;1491939013795;1491939013796
88;1491939013879;1491939013881
89;1491939013963;1491939013964
90;1491939014047;1491939014048
91;1491939014131;1491939014132
92;1491939014215;1491939014216
93;1491939014299;1491939014300
94;1491939014383;1491939014385
95;1491939014467;1491939014468
96;1491939014551;1491939014552
97;1491939014635;1491939014636
98;1491939014719;1491939014720
99;1491939014803;1491939014804
100;1491939014887;1491939014888
101;1491939014971;1491939014972
102;1491939015055;1491939015057
103;1491939015139;1491939015140
104;1491939015223;1491939015224
105;1491939015307;1491939015308
106;1491939015391;1491939015392
107;1491939015475;1491939015476
108;1491939015559;1491939015560
109;1491939015643;1491939015644
110;1491939015727;1491939015728
111;1491939015811;1491939015812
112;1491939015895;1491939015896
113;1491939015979;1491939015980
114;1491939016063;1491939016064
115;1491939016147;1491939016148
116;1491939016231;1491939016232
117;1491939016315;1491939016316
118;1491939016399;1491939016400
119;1491939016483;1491939016484
120;1491939016567;1491939016568
121;1491939016651;1491939016653
122;1491939016735;1491939016736
123;1491939016819;1491939016820
124;1491939016903;1491939016904
125;1491939016987;1491939016988
126;1491939017071;1491939017072
127;1491939017155;1491939017156
128;1491939017239;1491939017240
129;1491939017323;1491939017324
130;1491939017407;1491939017408
131;1491939017491;1491939017492
132;1491939017575;1491939017576
133;1491939017659;1491939017660
134;1491939017743;1491939017745
135;1491939017827;1491939017828
136;1491939017911;1491939017912
137;1491939017995;1491939017996
138;1491939018079;1491939018080
139;1491939018163;1491939018164
140;1491939018247;1491939018248
141;1491939018331;1491939018332
142;1491939018415;1491939018416
143;1491939018499;1491939018500
144;1491939018583;1491939018584
145;1491939018667;1491939018668
146;1491939018751;1491939018752
147;1491939018835;1491939018836
148;1491939018919;1491939018920
149;1491939019003;1491939019004
150;1491939019091;1491939019092
151;1491939019175;1491939019176
152;1491939019259;1491939019260
153;1491939019343;1491939019344
154;1491939019427;1491939019428
155;1491939019511;1491939019512
156;1491939019595;1491939019597
157;1491939019679;1491939019680
158;1491939019763;1491939019764
159;1491939019847;1491939019848
160;1491939019931;1491939019932
161;1491939020015;1491939020016
162;1491939020099;1491939020100
163;1491939020183;1491939020186
164;1491939020271;1491939020272
165;1491939020355;1491939020356
166;1491939020439;1491939020442
167;1491939020527;1491939020530
168;1491939020615;1491939020616
169;1491939020699;1491939020700
170;1491939020783;1491939020785
171;1491939020871;1491939020872
172;1491939020955;1491939020957
173;1491939021039;1491939021040
174;1491939021127;1491939021129
175;1491939021211;1491939021212
176;1491939021295;1491939021296
177;1491939021383;1491939021384
178;1491939021467;1491939021468
179;1491939021551;1491939021552
180;1491939021639;1491939021640
181;1491939021723;1491939021724
182;1491939021807;1491939021808
183;1491939021895;1491939021896
184;1491939021979;1491939021980
185;1491939022063;1491939022071
186;1491939022155;1491939022156
187;1491939022239;1491939022240
188;1491939022323;1491939022324
189;1491939022411;1491939022412
190;1491939022495;1491939022497
191;1491939022579;1491939022580
192;1491939022667;1491939022668
193;1491939022751;1491939022752
194;1491939022839;1491939022840
195;1491939022927;1491939022928
196;1491939023015;1491939023016
197;1491939023103;1491939023104
198;1491939023191;1491939023193
199;1491939023279;1491939023280
200;1491939023367;1491939023368
201;1491939023455;1491939023456
202;1491939023543;1491939023544
203;1491939023631;1491939023632
204;1491939023719;1491939023720
205;1491939023807;1491939023808
206;1491939023895;1491939023896
207;1491939023983;1491939023984
208;1491939024071;1491939024072
209;1491939024159;1491939024160
210;1491939024247;1491939024248
211;1491939024335;1491939024336
212;1491939024423;1491939024424
213;1491939024511;1491939024512
214;1491939024599;1491939024600
215;1491939024687;1491939024688
216;1491939024775;1491939024776
217;1491939024863;1491939024864
218;1491939024951;1491939024952
219;1491939025039;1491939025040
220;1491939025127;1491939025128
221;1491939025215;1491939025216
222;1491939025303;1491939025304
223;1491939025391;1491939025392
224;1491939025479;1491939025480
225;1491939025567;1491939025568
226;1491939025655;1491939025656
227;1491939025743;1491939025744
228;1491939025831;1491939025832
229;1491939025919;1491939025920
230;1491939026007;1491939026008
231;1491939026095;1491939026096
232;1491939026183;1491939026184
233;1491939026271;1491939026272
234;1491939026359;1491939026360
235;1491939026447;1491939026448
236;1491939026535;1491939026536
237;1491939026623;1491939026624
238;1491939026711;1491939026712
239;1491939026799;1491939026800
240;1491939026887;1491939026888
241;1491939026975;1491939026976
242;1491939027063;1491939027064
243;1491939027151;1491939027152
244;1491939027239;1491939027240
245;1491939027327;1491939027328
246;1491939027415;1491939027416
247;1491939027503;1491939027504
248;1491939027591;1491939027592
249;1491939027679;1491939027680
250;1491939027767;1491939027768
251;1491939027855;1491939027856
252;1491939027943;1491939027944
253;1491939028031;1491939028032
254;1491939028119;1491939028120
255;1491939028207;1491939028213
256;1491939028299;1491939028300
257;1491939028387;1491939028388
258;1491939028475;1491939028476
259;1491939028563;1491939028564
260;1491939028651;1491939028652
261;1491939028739;1491939028740
262;1491939028831;1491939028832
263;1491939028919;1491939028920
264;1491939029007;1491939029008
265;1491939029095;1491939029096
266;1491939029183;1491939029184
267;1491939029271;1491939029272
268;1491939029359;1491939029360
269;1491939029447;1491939029448
270;1491939029535;1491939029536
271;1491939029623;1491939029626
272;1491939029715;1491939029716
273;1491939029803;1491939029804
274;1491939029891;1491939029892
275;1491939029979;1491939029980
276;1491939030067;1491939030068
277;1491939030155;1491939030156
278;1491939030243;1491939030244
279;1491939030331;1491939030336
280;1491939030423;1491939030424
281;1491939030511;1491939030512
282;1491939030599;1491939030600
283;1491939030687;1491939030688
284;1491939030779;1491939030780
285;1491939030867;1491939030868
286;1491939030959;1491939030960
287;1491939031047;1491939031048
288;1491939031139;1491939031140
289;1491939031227;1491939031228
290;1491939031319;1491939031320
291;1491939031407;1491939031408
292;1491939031499;1491939031500
293;1491939031587;1491939031588
294;1491939031679;1491939031680
295;1491939031767;1491939031768
296;1491939031859;1491939031860
297;1491939031947;1491939031948
298;1491939032039;1491939032041
299;1491939032127;1491939032128
300;1491939032219;1491939032220
301;1491939032311;1491939032312
302;1491939032403;1491939032404
303;1491939032495;1491939032496
304;1491939032583;1491939032584
305;1491939032675;1491939032676
306;1491939032763;1491939032764
307;1491939032855;1491939032856
308;1491939032943;1491939032944
309;1491939033035;1491939033036
310;1491939033123;1491939033129
311;1491939033219;1491939033220
312;1491939033311;1491939033312
313;1491939033399;1491939033400
314;1491939033491;1491939033492
315;1491939033579;1491939033580
316;1491939033671;1491939033672
317;1491939033759;1491939033760
318;1491939033851;1491939033852
319;1491939033943;1491939033944
320;1491939034031;1491939034032
321;1491939034123;1491939034124
322;1491939034211;1491939034212
323;1491939034303;1491939034304
324;1491939034395;1491939034396
325;1491939034487;1491939034488
326;1491939034579;1491939034580
327;1491939034671;1491939034672
328;1491939034763;1491939034764
329;1491939034855;1491939034856
330;1491939034947;1491939034948
331;1491939035039;1491939035040
332;1491939035131;1491939035132
333;1491939035223;1491939035225
334;1491939035315;1491939035316
335;1491939035407;1491939035408
336;1491939035499;1491939035500
337;1491939035591;1491939035592
338;1491939035683;1491939035684
339;1491939035775;1491939035776
340;1491939035871;1491939035872
341;1491939035963;1491939035964
342;1491939036055;1491939036056
343;1491939036147;1491939036148
344;1491939036239;1491939036240
345;1491939036331;1491939036334
346;1491939036423;1491939036424
347;1491939036515;1491939036516
348;1491939036607;1491939036608
349;1491939036699;1491939036700
350;1491939036791;1491939036792
351;1491939036883;1491939036884
352;1491939036975;1491939036976
353;1491939037067;1491939037068
354;1491939037159;1491939037161
355;1491939037251;1491939037252
356;1491939037343;1491939037344
357;1491939037441;1491939037443
358;1491939037535;1491939037536
359;1491939037627;1491939037628
360;1491939037719;1491939037720
361;1491939037811;1491939037812
362;1491939037903;1491939037904
363;1491939037995;1491939037996
364;1491939038087;1491939038088
365;1491939038179;1491939038180
366;1491939038271;1491939038273
367;1491939038363;1491939038365
368;1491939038455;1491939038456
369;1491939038547;1491939038548
