T1-AntesDeConectar;T2-AposConectar
1491948399909;1491948444058

Contador;IniLoop
0;1491948444062
1;1491948445911
2;1491948446001
3;1491948446087
4;1491948446174
5;1491948446259
6;1491948446335
7;1491948446415
8;1491948446496
9;1491948446575
10;1491948446655
11;1491948446735
12;1491948446815
13;1491948446895
14;1491948446975
15;1491948447051
16;1491948447131
17;1491948447211
18;1491948447292
19;1491948447371
20;1491948447451
21;1491948447532
22;1491948447611
23;1491948447691
24;1491948447767
25;1491948447844
26;1491948447927
27;1491948448004
28;1491948448087
29;1491948448163
30;1491948448244
31;1491948448323
32;1491948448408
33;1491948448487
34;1491948448571
35;1491948448651
36;1491948448731
37;1491948448815
38;1491948448895
39;1491948448975
40;1491948449055
41;1491948449131
42;1491948449211
43;1491948449292
44;1491948449372
45;1491948449456
46;1491948449539
47;1491948449620
48;1491948449704
49;1491948449784
50;1491948449868
51;1491948449952
52;1491948450036
53;1491948450116
54;1491948450200
55;1491948450284
56;1491948450364
57;1491948450446
58;1491948450528
59;1491948450612
60;1491948450692
61;1491948450776
62;1491948450860
63;1491948450944
64;1491948451028
65;1491948451108
66;1491948451202
67;1491948451284
68;1491948451364
69;1491948451444
70;1491948451528
71;1491948451612
72;1491948451696
73;1491948451776
74;1491948451863
75;1491948451945
76;1491948452029
77;1491948452113
78;1491948452193
79;1491948452273
80;1491948452357
81;1491948452439
82;1491948452521
83;1491948452605
84;1491948452685
85;1491948452769
86;1491948452849
87;1491948452933
88;1491948453015
89;1491948453093
90;1491948453177
91;1491948453257
92;1491948453341
93;1491948453421
94;1491948453506
95;1491948453589
96;1491948453673
97;1491948453757
98;1491948453837
99;1491948453917
100;1491948453998
101;1491948454077
102;1491948454161
103;1491948454241
104;1491948454322
105;1491948454406
106;1491948454490
107;1491948454569
108;1491948454650
109;1491948454730
110;1491948454814
111;1491948454898
112;1491948454982
113;1491948455062
114;1491948455142
115;1491948455226
116;1491948455307
117;1491948455386
118;1491948455466
119;1491948455550
120;1491948455631
121;1491948455710
122;1491948455790
123;1491948455870
124;1491948455954
125;1491948456035
126;1491948456118
127;1491948456198
128;1491948456278
129;1491948456359
130;1491948456439
131;1491948456522
132;1491948456602
133;1491948456683
134;1491948456763
135;1491948456847
136;1491948456931
137;1491948457011
138;1491948457091
139;1491948457175
140;1491948457255
141;1491948457339
142;1491948457419
143;1491948457503
144;1491948457583
145;1491948457663
146;1491948457747
147;1491948457831
148;1491948457915
149;1491948457995
150;1491948458076
151;1491948458159
152;1491948458239
153;1491948458320
154;1491948458403
155;1491948458487
156;1491948458571
157;1491948458656
158;1491948458739
159;1491948458823
160;1491948458908
161;1491948458991
162;1491948459075
163;1491948459159
164;1491948459244
165;1491948459327
166;1491948459411
167;1491948459496
168;1491948459580
169;1491948459664
170;1491948459752
171;1491948459836
172;1491948459924
173;1491948460008
174;1491948460092
175;1491948460176
176;1491948460264
177;1491948460348
178;1491948460432
179;1491948460516
180;1491948460605
181;1491948460688
182;1491948460772
183;1491948460861
184;1491948460948
185;1491948461032
186;1491948461125
187;1491948461212
188;1491948461296
189;1491948461385
190;1491948461468
191;1491948461556
192;1491948461641
193;1491948461728
194;1491948461816
