Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1491949670947;1491949672578
1;1491949672730;1491949672733
2;1491949672777;1491949672778
3;1491949672862;1491949672863
4;1491949672946;1491949672947
5;1491949673030;1491949673031
6;1491949673114;1491949673115
7;1491949673194;1491949673195
8;1491949673274;1491949673275
9;1491949673353;1491949673355
10;1491949673434;1491949673435
11;1491949673514;1491949673515
12;1491949673594;1491949673595
13;1491949673674;1491949673675
14;1491949673754;1491949673755
15;1491949673834;1491949673835
16;1491949673914;1491949673915
17;1491949673994;1491949673995
18;1491949674074;1491949674075
19;1491949674154;1491949674155
20;1491949674234;1491949674235
21;1491949674314;1491949674314
22;1491949674394;1491949674394
23;1491949674474;1491949674474
24;1491949674554;1491949674555
25;1491949674634;1491949674635
26;1491949674714;1491949674715
27;1491949674794;1491949674795
28;1491949674874;1491949674875
29;1491949674954;1491949674955
30;1491949675034;1491949675035
31;1491949675114;1491949675115
32;1491949675198;1491949675199
33;1491949675278;1491949675279
34;1491949675358;1491949675358
35;1491949675438;1491949675438
36;1491949675518;1491949675519
37;1491949675598;1491949675598
38;1491949675678;1491949675679
39;1491949675758;1491949675759
40;1491949675838;1491949675839
41;1491949675918;1491949675919
42;1491949675998;1491949675999
43;1491949676078;1491949676078
44;1491949676158;1491949676159
45;1491949676238;1491949676239
46;1491949676322;1491949676323
47;1491949676402;1491949676403
48;1491949676482;1491949676483
49;1491949676562;1491949676563
50;1491949676642;1491949676643
51;1491949676722;1491949676723
52;1491949676802;1491949676803
53;1491949676882;1491949676883
54;1491949676962;1491949676963
55;1491949677042;1491949677043
56;1491949677122;1491949677123
57;1491949677202;1491949677203
58;1491949677282;1491949677283
59;1491949677362;1491949677363
60;1491949677442;1491949677442
61;1491949677522;1491949677526
62;1491949677606;1491949677607
63;1491949677686;1491949677687
64;1491949677766;1491949677767
65;1491949677855;1491949677857
66;1491949677942;1491949677943
67;1491949678022;1491949678023
68;1491949678102;1491949678103
69;1491949678182;1491949678183
70;1491949678262;1491949678263
71;1491949678342;1491949678343
72;1491949678422;1491949678423
73;1491949678502;1491949678503
74;1491949678586;1491949678587
75;1491949678666;1491949678667
76;1491949678746;1491949678747
77;1491949678826;1491949678827
78;1491949678906;1491949678907
79;1491949678986;1491949678987
80;1491949679066;1491949679067
81;1491949679150;1491949679151
82;1491949679230;1491949679230
83;1491949679310;1491949679310
84;1491949679390;1491949679390
85;1491949679470;1491949679471
86;1491949679550;1491949679551
87;1491949679630;1491949679631
88;1491949679714;1491949679715
89;1491949679794;1491949679795
90;1491949679874;1491949679875
91;1491949679954;1491949679955
92;1491949680034;1491949680035
93;1491949680114;1491949680115
94;1491949680194;1491949680195
95;1491949680274;1491949680275
96;1491949680354;1491949680354
97;1491949680434;1491949680435
98;1491949680514;1491949680515
99;1491949680594;1491949680595
100;1491949680674;1491949680675
101;1491949680754;1491949680755
102;1491949680834;1491949680835
103;1491949680914;1491949680915
104;1491949680994;1491949680995
105;1491949681074;1491949681075
106;1491949681158;1491949681159
107;1491949681238;1491949681239
108;1491949681318;1491949681318
109;1491949681398;1491949681398
110;1491949681478;1491949681478
111;1491949681562;1491949681563
112;1491949681642;1491949681643
113;1491949681722;1491949681723
114;1491949681802;1491949681803
115;1491949681882;1491949681883
116;1491949681966;1491949681967
117;1491949682046;1491949682047
118;1491949682126;1491949682127
119;1491949682206;1491949682207
120;1491949682290;1491949682291
121;1491949682370;1491949682371
122;1491949682450;1491949682451
123;1491949682530;1491949682531
124;1491949682610;1491949682611
125;1491949682694;1491949682695
126;1491949682774;1491949682775
127;1491949682854;1491949682855
128;1491949682938;1491949682939
129;1491949683022;1491949683023
130;1491949683106;1491949683107
131;1491949683190;1491949683191
132;1491949683274;1491949683275
133;1491949683358;1491949683358
134;1491949683442;1491949683444
135;1491949683530;1491949683530
136;1491949683614;1491949683615
137;1491949683698;1491949683701
138;1491949683786;1491949683788
139;1491949683874;1491949683875
140;1491949683958;1491949683959
141;1491949684042;1491949684043
142;1491949684126;1491949684127
143;1491949684210;1491949684211
144;1491949684294;1491949684295
145;1491949684378;1491949684379
146;1491949684462;1491949684463
147;1491949684546;1491949684547
148;1491949684630;1491949684631
149;1491949684714;1491949684715
150;1491949684798;1491949684799
151;1491949684882;1491949684882
152;1491949684966;1491949684967
153;1491949685050;1491949685051
154;1491949685134;1491949685135
155;1491949685218;1491949685219
156;1491949685302;1491949685302
157;1491949685386;1491949685386
158;1491949685470;1491949685470
159;1491949685554;1491949685555
160;1491949685638;1491949685639
161;1491949685722;1491949685723
162;1491949685806;1491949685807
163;1491949685890;1491949685891
164;1491949685974;1491949685975
165;1491949686058;1491949686059
166;1491949686142;1491949686143
167;1491949686226;1491949686227
168;1491949686310;1491949686310
169;1491949686394;1491949686394
170;1491949686478;1491949686478
171;1491949686562;1491949686563
172;1491949686646;1491949686647
173;1491949686730;1491949686732
174;1491949686818;1491949686819
175;1491949686902;1491949686903
176;1491949686986;1491949686987
177;1491949687070;1491949687071
178;1491949687154;1491949687155
179;1491949687238;1491949687239
180;1491949687322;1491949687322
181;1491949687406;1491949687407
182;1491949687490;1491949687491
183;1491949687574;1491949687575
184;1491949687658;1491949687659
185;1491949687742;1491949687749
186;1491949687834;1491949687835
187;1491949687918;1491949687919
188;1491949688002;1491949688003
189;1491949688086;1491949688087
190;1491949688170;1491949688171
191;1491949688254;1491949688255
192;1491949688338;1491949688338
193;1491949688422;1491949688422
194;1491949688506;1491949688507
195;1491949688590;1491949688590
196;1491949688674;1491949688675
197;1491949688758;1491949688759
198;1491949688842;1491949688843
199;1491949688926;1491949688929
200;1491949689014;1491949689015
201;1491949689098;1491949689099
202;1491949689182;1491949689183
203;1491949689266;1491949689268
204;1491949689353;1491949689354
205;1491949689438;1491949689438
206;1491949689522;1491949689523
207;1491949689606;1491949689607
208;1491949689690;1491949689691
209;1491949689774;1491949689775
210;1491949689858;1491949689859
211;1491949689941;1491949689943
212;1491949690026;1491949690027
