Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
15;210;1,49203E+12;21:31:44;00:00:00;2;200;6,5;1536;1536;160;80;0,0325;0,018768158;0,4;0,8;;1492032700;1492032693;;;;
16;225;1,49203E+12;21:31:58;00:00:14;2;200;22,5;1536;1536;160;80;0,1125;0,06563408;0,4;0,8;;1492032703;1492032713;;;;
17;240;1,49203E+12;21:32:13;00:00:29;2;200;47,5;1536;1536;160;80;0,2375;0,15156704;0,4;0,8;;1492032723;1492032727;;;;
18;255;1,49203E+12;21:32:28;00:00:44;2;200;54;1536;1536;160;80;0,27;0,21078353;0,4;0,8;;1492032743;1492032734;;;;
19;270;1,49203E+12;21:32:43;00:00:59;2;200;81,4;1536;1536;160;80;0,407;0,30889177;0,4;0,8;;1492032759;1492032753;;;;
20;285;1,49203E+12;21:32:58;00:01:14;2;200;106,8;1536;1536;160;80;0,53400004;0,4214459;0,4;0,8;;1492032763;1492032773;;;;
21;300;1,49203E+12;21:33:13;00:01:29;2;200;119,9;1536;1536;160;80;0,5995;0,51047295;0,4;0,8;;1492032783;1492032788;;;;
22;315;1,49203E+12;21:33:28;00:01:44;2;200;123,4;1536;1536;160;80;0,617;0,56373644;0,4;0,8;;1492032797;1492032793;;;;
23;330;1,49203E+12;21:33:43;00:01:59;2;200;128,8;1536;1536;160;80;0,644;0,60386825;0,4;0,8;;1492032812;1492032813;;;;
24;345;1,49203E+12;21:33:58;00:02:14;2;200;137,3;1536;1536;160;80;0,6865;0,64518416;0,4;0,8;;1492032827;1492032828;;;;
25;360;1,49203E+12;21:34:13;00:02:29;2;200;138,8;1536;1536;160;80;0,694;0,6695921;0,4;0,8;;1492032848;1492032838;;;;
26;375;1,49203E+12;21:34:28;00:02:44;2;200;140,9;1536;1536;160;80;0,70449996;0,68704605;0,4;0,8;;1492032864;1492032858;;;;
27;390;1,49203E+12;21:34:43;00:02:59;2;200;143,3;1536;1536;160;80;0,71650004;0,70177305;0,4;0,8;;1492032868;1492032878;;;;
28;405;1,49203E+12;21:34:58;00:03:14;2;200;147,9;1536;1536;160;80;0,7395;0,7206365;0,4;0,8;;1492032887;1492032893;;;;
29;420;1,49203E+12;21:35:13;00:03:29;2;200;145,8;1536;1536;160;80;0,72900003;0,7248182;0,4;0,8;;1492032908;1492032898;;;;
30;435;1,49203E+12;21:35:28;00:03:44;2;200;152,3;1536;1536;160;80;0,7615;0,7431591;0,4;0,8;;1492032922;1492032918;;;;
31;450;1,49203E+12;21:35:43;00:03:59;2;200;152,8;1536;1536;160;80;0,764;0,75357956;0,4;0,8;;1492032928;1492032937;;;;
32;465;1,49203E+12;21:35:58;00:04:14;2;200;154,8;1536;1536;160;80;0,774;0,7637898;0,4;0,8;;1492032948;1492032952;;;;
33;480;1,49203E+12;21:36:13;00:04:29;2;200;156,3;1536;1536;160;80;0,78150004;0,7726449;0,4;0,8;;1492032968;1492032957;;;;
34;495;1,49203E+12;21:36:28;00:04:44;2;200;156,3;1536;1536;160;80;0,78150004;0,7770724;0,4;0,8;;1492032984;1492032977;;;;
35;510;1,49203E+12;21:36:43;00:04:59;2;200;158,8;1536;1536;160;80;0,794;0,7855362;0,4;0,8;;1492032989;1492032998;;;;
36;525;1,49203E+12;21:36:58;00:05:14;2;200;159,8;1536;1536;160;80;0,799;0,79226816;0,4;0,8;;1492033013;1492033013;;;;
37;540;1,49203E+12;21:37:13;00:05:29;2;200;157,3;1536;1536;160;80;0,78650004;0,7893841;0,4;0,8;;1492033027;1492033017;;;;
38;555;1,49203E+12;21:37:29;00:05:45;2;200;161,3;1536;1536;160;80;0,8065;0,79794204;0,4;0,8;;1492033033;1492033045;;;;
39;570;1,49203E+12;21:37:43;00:05:59;2;200;162,3;1536;1536;160;80;0,8115;0,804721;0,4;0,8;;1492033052;1492033060;;;;
40;585;1,49203E+12;21:37:58;00:06:14;2;200;161,8;1536;1536;160;80;0,809;0,8068605;0,4;0,8;;1492033073;1492033064;;;;
41;600;1,49203E+12;21:38:13;00:06:29;2;200;158,8;1536;1536;160;80;0,794;0,8004303;0,4;0,8;;1492033089;1492033083;;;;
42;615;1,49203E+12;21:38:28;00:06:44;2;200;157,8;1536;1536;160;80;0,78900003;0,79471517;0,4;0,8;;1492033093;1492033104;;;;
43;630;1,49203E+12;21:38:43;00:06:59;2;200;157,3;1536;1536;160;80;0,78650004;0,7906076;0,4;0,8;;1492033112;1492033119;;;;
44;645;1,49203E+12;21:38:58;00:07:14;2;200;155,8;1536;1536;160;80;0,77900004;0,7848038;0,4;0,8;;1492033134;1492033123;;;;
45;660;1,49203E+12;21:39:13;00:07:29;2;200;148,3;1536;1536;160;80;0,7415;0,7631519;0,4;0,8;;1492033147;1492033142;;;;
