Tarefa;T1-AntesDoEnvio;T2-AposReceberResposta
0;1492006168071;1492006168203
1;1492006168207;1492006168290
2;1492006168291;1492006168378
3;1492006168379;1492006168466
4;1492006168467;1492006168546
5;1492006168547;1492006168626
6;1492006168627;1492006168706
7;1492006168707;1492006168787
8;1492006168788;1492006168866
9;1492006168867;1492006168946
10;1492006168947;1492006169026
11;1492006169027;1492006169106
12;1492006169107;1492006169186
13;1492006169187;1492006169266
14;1492006169267;1492006169346
15;1492006169347;1492006169426
16;1492006169427;1492006169506
17;1492006169507;1492006169586
18;1492006169587;1492006169666
19;1492006169667;1492006169746
20;1492006169747;1492006169826
21;1492006169827;1492006169906
22;1492006169907;1492006169990
23;1492006169991;1492006170070
24;1492006170071;1492006170150
25;1492006170151;1492006170230
26;1492006170231;1492006170310
27;1492006170312;1492006170390
28;1492006170391;1492006170470
29;1492006170471;1492006170550
30;1492006170551;1492006170630
31;1492006170631;1492006170710
32;1492006170711;1492006170794
33;1492006170795;1492006170874
34;1492006170875;1492006170954
35;1492006170955;1492006171034
36;1492006171035;1492006171114
37;1492006171115;1492006171194
38;1492006171195;1492006171274
39;1492006171275;1492006171358
40;1492006171359;1492006171438
41;1492006171439;1492006171518
42;1492006171519;1492006171598
43;1492006171599;1492006171682
44;1492006171683;1492006171766
45;1492006171767;1492006171850
46;1492006171851;1492006171934
47;1492006171935;1492006172018
48;1492006172019;1492006172102
49;1492006172103;1492006172186
50;1492006172187;1492006172270
51;1492006172272;1492006172354
52;1492006172355;1492006172438
53;1492006172439;1492006172522
54;1492006172523;1492006172606
55;1492006172607;1492006172690
56;1492006172691;1492006172774
57;1492006172775;1492006172858
58;1492006172859;1492006172942
59;1492006172943;1492006173026
60;1492006173027;1492006173110
61;1492006173111;1492006173194
62;1492006173195;1492006173278
63;1492006173279;1492006173362
64;1492006173363;1492006173446
65;1492006173447;1492006173530
66;1492006173541;1492006173622
67;1492006173623;1492006173706
68;1492006173707;1492006173790
69;1492006173791;1492006173874
70;1492006173875;1492006173958
71;1492006173959;1492006174042
72;1492006174043;1492006174126
73;1492006174128;1492006174210
74;1492006174211;1492006174294
75;1492006174295;1492006174378
76;1492006174379;1492006174462
77;1492006174463;1492006174546
78;1492006174547;1492006174630
79;1492006174631;1492006174714
80;1492006174715;1492006174798
81;1492006174799;1492006174882
82;1492006174883;1492006174966
83;1492006174967;1492006175050
84;1492006175051;1492006175134
85;1492006175135;1492006175218
86;1492006175219;1492006175302
87;1492006175303;1492006175386
88;1492006175387;1492006175470
89;1492006175471;1492006175554
90;1492006175555;1492006175638
91;1492006175639;1492006175722
92;1492006175723;1492006175806
93;1492006175807;1492006175890
94;1492006175891;1492006175974
95;1492006175975;1492006176058
96;1492006176059;1492006176142
97;1492006176143;1492006176226
98;1492006176227;1492006176310
99;1492006176311;1492006176398
100;1492006176399;1492006176482
101;1492006176483;1492006176566
102;1492006176567;1492006176654
103;1492006176655;1492006176738
104;1492006176739;1492006176822
105;1492006176823;1492006176910
106;1492006176911;1492006176998
107;1492006176999;1492006177086
108;1492006177087;1492006177174
109;1492006177175;1492006177262
110;1492006177263;1492006177350
111;1492006177351;1492006177438
112;1492006177439;1492006177526
113;1492006177527;1492006177614
114;1492006177615;1492006177702
115;1492006177703;1492006177790
116;1492006177791;1492006177878
117;1492006177879;1492006177966
118;1492006177967;1492006178054
119;1492006178055;1492006178142
120;1492006178143;1492006178230
121;1492006178231;1492006178318
122;1492006178319;1492006178406
123;1492006178407;1492006178494
124;1492006178495;1492006178582
125;1492006178583;1492006178670
126;1492006178671;1492006178758
127;1492006178759;1492006178846
128;1492006178847;1492006178934
129;1492006178935;1492006179022
130;1492006179023;1492006179110
131;1492006179117;1492006179202
132;1492006179203;1492006179290
133;1492006179291;1492006179378
134;1492006179379;1492006179466
135;1492006179467;1492006179554
136;1492006179555;1492006179642
137;1492006179643;1492006179730
138;1492006179731;1492006179818
139;1492006179819;1492006179906
140;1492006179907;1492006179994
141;1492006179995;1492006180082
142;1492006180083;1492006180170
143;1492006180172;1492006180258
144;1492006180259;1492006180346
145;1492006180347;1492006180434
146;1492006180435;1492006180522
147;1492006180523;1492006180610
148;1492006180611;1492006180698
149;1492006180699;1492006180786
150;1492006180787;1492006180874
151;1492006180875;1492006180962
152;1492006180963;1492006181050
153;1492006181051;1492006181138
154;1492006181139;1492006181226
155;1492006181227;1492006181314
156;1492006181315;1492006181402
157;1492006181403;1492006181490
158;1492006181491;1492006181582
159;1492006181583;1492006181670
160;1492006181671;1492006181758
161;1492006181760;1492006181850
162;1492006181851;1492006181938
163;1492006181939;1492006182030
164;1492006182032;1492006182118
165;1492006182119;1492006182210
166;1492006182211;1492006182302
167;1492006182303;1492006182394
168;1492006182395;1492006182486
169;1492006182487;1492006182574
170;1492006182575;1492006182666
171;1492006182667;1492006182758
172;1492006182759;1492006182850
173;1492006182851;1492006182942
174;1492006182943;1492006183034
175;1492006183035;1492006183126
176;1492006183127;1492006183218
177;1492006183220;1492006183310
178;1492006183311;1492006183402
179;1492006183404;1492006183494
180;1492006183495;1492006183586
181;1492006183587;1492006183678
182;1492006183679;1492006183770
183;1492006183771;1492006183862
184;1492006183863;1492006183954
185;1492006183955;1492006184046
186;1492006184052;1492006184142
187;1492006184143;1492006184234
188;1492006184235;1492006184326
189;1492006184327;1492006184418
190;1492006184419;1492006184510
191;1492006184511;1492006184602
192;1492006184603;1492006184694
193;1492006184695;1492006184786
194;1492006184788;1492006184878
195;1492006184881;1492006184970
196;1492006184973;1492006185062
197;1492006185067;1492006185158
198;1492006185160;1492006185250
199;1492006185251;1492006185342
200;1492006185343;1492006185434
201;1492006185436;1492006185526
202;1492006185527;1492006185618
203;1492006185620;1492006185710
204;1492006185711;1492006185802
205;1492006185803;1492006185894
206;1492006185897;1492006185986
207;1492006185987;1492006186078
208;1492006186081;1492006186170
209;1492006186171;1492006186262
210;1492006186263;1492006186354
211;1492006186355;1492006186446
212;1492006186447;1492006186538
213;1492006186539;1492006186630
214;1492006186631;1492006186722
215;1492006186723;1492006186814
216;1492006186815;1492006186906
217;1492006186907;1492006186998
218;1492006186999;1492006187090
219;1492006187091;1492006187182
220;1492006187183;1492006187274
221;1492006187275;1492006187366
222;1492006187367;1492006187458
223;1492006187459;1492006187550
224;1492006187551;1492006187646
225;1492006187647;1492006187742
226;1492006187743;1492006187838
227;1492006187839;1492006187930
228;1492006187932;1492006188026
229;1492006188027;1492006188122
230;1492006188124;1492006188218
231;1492006188219;1492006188314
232;1492006188315;1492006188406
233;1492006188407;1492006188502
234;1492006188503;1492006188598
235;1492006188599;1492006188694
236;1492006188695;1492006188790
237;1492006188791;1492006188886
238;1492006188887;1492006188982
239;1492006188983;1492006189078
240;1492006189079;1492006189174
241;1492006189175;1492006189270
242;1492006189271;1492006189366
243;1492006189367;1492006189462
244;1492006189463;1492006189558
245;1492006189559;1492006189654
246;1492006189655;1492006189750
247;1492006189751;1492006189846
248;1492006189847;1492006189942
249;1492006189943;1492006190038
250;1492006190039;1492006190134
251;1492006190135;1492006190230
252;1492006190231;1492006190326
253;1492006190327;1492006190422
254;1492006190423;1492006190518
255;1492006190519;1492006190614
256;1492006190623;1492006190718
257;1492006190719;1492006190814
258;1492006190815;1492006190910
259;1492006190911;1492006191006
260;1492006191007;1492006191102
261;1492006191103;1492006191198
262;1492006191199;1492006191294
263;1492006191295;1492006191390
264;1492006191391;1492006191486
265;1492006191487;1492006191582
266;1492006191583;1492006191678
267;1492006191679;1492006191774
268;1492006191775;1492006191870
269;1492006191871;1492006191966
270;1492006191967;1492006192062
271;1492006192063;1492006192158
272;1492006192159;1492006192254
273;1492006192255;1492006192350
274;1492006192351;1492006192446
275;1492006192447;1492006192542
276;1492006192543;1492006192638
277;1492006192639;1492006192734
278;1492006192735;1492006192830
279;1492006192831;1492006192926
280;1492006192927;1492006193022
281;1492006193023;1492006193118
282;1492006193119;1492006193214
283;1492006193215;1492006193310
284;1492006193311;1492006193406
285;1492006193407;1492006193502
286;1492006193503;1492006193598
287;1492006193599;1492006193694
288;1492006193695;1492006193794
