T1-AntesDeConectar;T2-AposConectar
1492015635239;1492015650176

Contador;IniLoop
0;1492015650180
1;1492015650402
2;1492015650541
3;1492015650687
4;1492015650824
5;1492015650957
6;1492015651122
7;1492015651251
8;1492015651386
9;1492015651524
10;1492015651673
11;1492015651819
12;1492015651958
13;1492015652085
14;1492015652215
15;1492015652359
16;1492015652515
17;1492015652653
18;1492015652791
19;1492015652941
20;1492015653093
21;1492015653228
22;1492015653356
23;1492015653492
24;1492015653629
25;1492015653765
26;1492015653900
27;1492015654033
28;1492015654168
29;1492015654305
30;1492015654439
31;1492015654578
32;1492015654715
33;1492015654856
34;1492015654994
35;1492015655133
36;1492015655274
37;1492015655402
38;1492015655537
39;1492015655674
40;1492015655808
41;1492015655945
42;1492015656080
43;1492015656218
44;1492015656353
45;1492015656489
46;1492015656625
47;1492015656760
48;1492015656898
49;1492015657032
50;1492015657169
51;1492015657305
52;1492015657441
53;1492015657578
54;1492015657712
55;1492015657850
56;1492015657984
57;1492015658122
58;1492015658257
59;1492015658394
60;1492015658530
61;1492015658664
62;1492015658803
63;1492015658937
64;1492015659074
65;1492015659209
66;1492015659346
67;1492015659483
68;1492015659626
69;1492015659763
70;1492015659901
71;1492015660039
72;1492015660173
73;1492015660311
74;1492015660446
75;1492015660581
76;1492015660720
77;1492015660853
78;1492015660991
79;1492015661125
80;1492015661263
81;1492015661403
82;1492015661537
83;1492015661675
84;1492015661810
85;1492015661948
86;1492015662081
87;1492015662219
88;1492015662359
89;1492015662493
90;1492015662630
91;1492015662766
92;1492015662902
93;1492015663037
94;1492015663174
95;1492015663312
96;1492015663452
97;1492015663592
98;1492015663732
99;1492015663877
100;1492015664023
101;1492015664164
102;1492015664319
103;1492015664456
104;1492015664595
105;1492015664730
106;1492015664867
107;1492015665002
108;1492015665140
109;1492015665279
110;1492015665414
111;1492015665551
112;1492015665686
113;1492015665823
114;1492015665957
115;1492015666095
116;1492015666231
117;1492015666371
118;1492015666511
119;1492015666646
120;1492015666783
121;1492015666918
122;1492015667056
123;1492015667209
124;1492015667348
125;1492015667485
126;1492015667624
127;1492015667762
128;1492015667900
129;1492015668040
130;1492015668178
131;1492015668318
