Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1492016932699;1492016934350
1;1492016934490;1492016934493
2;1492016934570;1492016934571
3;1492016934654;1492016934655
4;1492016934743;1492016934744
5;1492016934826;1492016934827
6;1492016934910;1492016934911
7;1492016934990;1492016934991
8;1492016935070;1492016935071
9;1492016935150;1492016935151
10;1492016935230;1492016935231
11;1492016935310;1492016935311
12;1492016935390;1492016935391
13;1492016935470;1492016935471
14;1492016935550;1492016935551
15;1492016935630;1492016935631
16;1492016935710;1492016935711
17;1492016935790;1492016935791
18;1492016935870;1492016935871
19;1492016935950;1492016935951
20;1492016936030;1492016936031
21;1492016936110;1492016936111
22;1492016936190;1492016936191
23;1492016936270;1492016936271
24;1492016936350;1492016936351
25;1492016936430;1492016936431
26;1492016936510;1492016936511
27;1492016936590;1492016936591
28;1492016936670;1492016936671
29;1492016936750;1492016936751
30;1492016936830;1492016936831
31;1492016936910;1492016936911
32;1492016936994;1492016936995
33;1492016937074;1492016937075
34;1492016937154;1492016937155
35;1492016937234;1492016937235
36;1492016937314;1492016937315
37;1492016937394;1492016937395
38;1492016937474;1492016937475
39;1492016937554;1492016937555
40;1492016937634;1492016937635
41;1492016937714;1492016937715
42;1492016937794;1492016937795
43;1492016937874;1492016937875
44;1492016937954;1492016937955
45;1492016938034;1492016938036
46;1492016938118;1492016938119
47;1492016938198;1492016938199
48;1492016938278;1492016938279
49;1492016938358;1492016938359
50;1492016938438;1492016938439
51;1492016938518;1492016938519
52;1492016938598;1492016938599
53;1492016938678;1492016938680
54;1492016938758;1492016938759
55;1492016938838;1492016938839
56;1492016938918;1492016938919
57;1492016939002;1492016939003
58;1492016939082;1492016939083
59;1492016939162;1492016939163
60;1492016939242;1492016939243
61;1492016939322;1492016939323
62;1492016939402;1492016939403
63;1492016939482;1492016939483
64;1492016939562;1492016939563
65;1492016939654;1492016939655
66;1492016939738;1492016939739
67;1492016939818;1492016939819
68;1492016939898;1492016939899
69;1492016939978;1492016939979
70;1492016940058;1492016940059
71;1492016940138;1492016940139
72;1492016940218;1492016940219
73;1492016940298;1492016940299
74;1492016940382;1492016940383
75;1492016940462;1492016940463
76;1492016940542;1492016940543
77;1492016940622;1492016940623
78;1492016940702;1492016940703
79;1492016940782;1492016940783
80;1492016940862;1492016940863
81;1492016940946;1492016940947
82;1492016941026;1492016941027
83;1492016941106;1492016941107
84;1492016941186;1492016941187
85;1492016941266;1492016941267
86;1492016941346;1492016941347
87;1492016941426;1492016941427
88;1492016941510;1492016941511
89;1492016941590;1492016941591
90;1492016941670;1492016941671
91;1492016941750;1492016941751
92;1492016941830;1492016941831
93;1492016941910;1492016941911
94;1492016941994;1492016941996
95;1492016942074;1492016942075
96;1492016942154;1492016942155
97;1492016942234;1492016942235
98;1492016942314;1492016942315
99;1492016942394;1492016942395
100;1492016942478;1492016942479
101;1492016942562;1492016942563
102;1492016942646;1492016942647
103;1492016942730;1492016942731
104;1492016942814;1492016942815
105;1492016942898;1492016942899
106;1492016942982;1492016942983
107;1492016943066;1492016943067
108;1492016943150;1492016943151
109;1492016943234;1492016943235
110;1492016943318;1492016943319
111;1492016943402;1492016943403
112;1492016943486;1492016943487
113;1492016943570;1492016943571
114;1492016943654;1492016943655
115;1492016943738;1492016943739
116;1492016943822;1492016943823
117;1492016943906;1492016943907
118;1492016943990;1492016943991
119;1492016944074;1492016944075
120;1492016944158;1492016944159
121;1492016944242;1492016944243
122;1492016944326;1492016944327
123;1492016944410;1492016944411
124;1492016944494;1492016944495
125;1492016944578;1492016944579
126;1492016944662;1492016944663
127;1492016944746;1492016944747
128;1492016944830;1492016944831
129;1492016944914;1492016944915
130;1492016944998;1492016944999
131;1492016945082;1492016945083
132;1492016945166;1492016945167
133;1492016945250;1492016945251
134;1492016945334;1492016945335
135;1492016945418;1492016945420
136;1492016945502;1492016945503
137;1492016945586;1492016945587
138;1492016945670;1492016945671
139;1492016945754;1492016945755
140;1492016945838;1492016945839
141;1492016945922;1492016945923
142;1492016946006;1492016946008
143;1492016946090;1492016946091
144;1492016946174;1492016946175
145;1492016946267;1492016946270
146;1492016946354;1492016946356
147;1492016946438;1492016946439
148;1492016946522;1492016946524
149;1492016946606;1492016946612
150;1492016946694;1492016946695
151;1492016946778;1492016946781
152;1492016946862;1492016946865
153;1492016946950;1492016946953
154;1492016947038;1492016947039
155;1492016947122;1492016947123
156;1492016947206;1492016947207
157;1492016947290;1492016947291
158;1492016947374;1492016947375
159;1492016947458;1492016947459
160;1492016947542;1492016947543
161;1492016947626;1492016947627
162;1492016947710;1492016947711
163;1492016947794;1492016947795
164;1492016947878;1492016947879
165;1492016947962;1492016947963
166;1492016948046;1492016948047
167;1492016948130;1492016948131
168;1492016948214;1492016948215
169;1492016948298;1492016948299
170;1492016948382;1492016948383
171;1492016948466;1492016948467
172;1492016948550;1492016948551
173;1492016948634;1492016948635
174;1492016948718;1492016948719
175;1492016948802;1492016948803
176;1492016948886;1492016948887
177;1492016948970;1492016948971
178;1492016949054;1492016949055
179;1492016949138;1492016949139
180;1492016949222;1492016949223
181;1492016949306;1492016949307
182;1492016949390;1492016949391
183;1492016949474;1492016949475
184;1492016949558;1492016949559
185;1492016949642;1492016949648
186;1492016949730;1492016949731
187;1492016949814;1492016949815
188;1492016949898;1492016949899
189;1492016949982;1492016949983
190;1492016950066;1492016950067
191;1492016950150;1492016950151
192;1492016950234;1492016950235
193;1492016950318;1492016950319
194;1492016950402;1492016950403
195;1492016950490;1492016950491
196;1492016950574;1492016950575
197;1492016950658;1492016950659
198;1492016950742;1492016950744
199;1492016950826;1492016950827
200;1492016950910;1492016950911
201;1492016950994;1492016950995
202;1492016951078;1492016951079
203;1492016951162;1492016951163
204;1492016951246;1492016951247
205;1492016951330;1492016951331
206;1492016951414;1492016951415
207;1492016951498;1492016951499
208;1492016951582;1492016951585
209;1492016951670;1492016951671
210;1492016951754;1492016951755
211;1492016951838;1492016951839
212;1492016951926;1492016951927
213;1492016952010;1492016952011
214;1492016952098;1492016952099
215;1492016952182;1492016952183
216;1492016952266;1492016952267
217;1492016952354;1492016952355
218;1492016952438;1492016952439
219;1492016952526;1492016952527
220;1492016952610;1492016952611
221;1492016952694;1492016952695
222;1492016952782;1492016952783
223;1492016952866;1492016952867
224;1492016952950;1492016952951
225;1492016953038;1492016953039
226;1492016953122;1492016953123
227;1492016953210;1492016953211
228;1492016953294;1492016953295
229;1492016953382;1492016953383
230;1492016953470;1492016953471
231;1492016953558;1492016953559
232;1492016953646;1492016953647
233;1492016953734;1492016953735
234;1492016953822;1492016953823
235;1492016953910;1492016953911
236;1492016953998;1492016953999
237;1492016954086;1492016954087
238;1492016954174;1492016954175
239;1492016954262;1492016954263
240;1492016954350;1492016954351
241;1492016954438;1492016954439
242;1492016954526;1492016954527
