T1-AntesDeConectar;T2-AposConectar
1492021680990;1492021919413

Contador;IniLoop
0;1492021919417
1;1492021919655
2;1492021919745
3;1492021919830
4;1492021919917
5;1492021920003
6;1492021920083
7;1492021920166
8;1492021920247
9;1492021920326
10;1492021920406
11;1492021920486
12;1492021920566
13;1492021920647
14;1492021920726
15;1492021920806
16;1492021920886
17;1492021920966
18;1492021921047
19;1492021921126
20;1492021921206
21;1492021921287
22;1492021921366
23;1492021921446
24;1492021921526
25;1492021921607
26;1492021921686
27;1492021921767
28;1492021921846
29;1492021921926
30;1492021922007
31;1492021922086
32;1492021922172
33;1492021922255
34;1492021922335
35;1492021922415
36;1492021922494
37;1492021922575
38;1492021922655
39;1492021922735
40;1492021922815
41;1492021922895
42;1492021922975
43;1492021923055
44;1492021923135
45;1492021923215
46;1492021923298
47;1492021923379
48;1492021923459
49;1492021923539
50;1492021923619
51;1492021923699
52;1492021923779
53;1492021923859
54;1492021923939
55;1492021924019
56;1492021924099
57;1492021924182
58;1492021924263
59;1492021924343
60;1492021924423
61;1492021924503
62;1492021924587
63;1492021924672
64;1492021924756
65;1492021924848
66;1492021924934
67;1492021925016
68;1492021925108
69;1492021925192
70;1492021925276
71;1492021925360
72;1492021925444
73;1492021925552
74;1492021925638
75;1492021925720
76;1492021925804
77;1492021925888
78;1492021925972
79;1492021926056
80;1492021926140
81;1492021926226
82;1492021926308
83;1492021926392
84;1492021926476
85;1492021926560
86;1492021926644
87;1492021926728
88;1492021926814
89;1492021926896
90;1492021926980
91;1492021927065
92;1492021927148
93;1492021927233
94;1492021927317
95;1492021927401
96;1492021927485
97;1492021927569
98;1492021927653
99;1492021927737
100;1492021927821
101;1492021927905
102;1492021927989
103;1492021928073
104;1492021928157
105;1492021928242
106;1492021928325
107;1492021928409
108;1492021928493
109;1492021928577
110;1492021928661
111;1492021928746
112;1492021928829
113;1492021928913
114;1492021928997
115;1492021929085
116;1492021929170
117;1492021929253
118;1492021929341
119;1492021929425
120;1492021929510
121;1492021929593
122;1492021929677
123;1492021929762
124;1492021929846
125;1492021929930
126;1492021930014
127;1492021930098
128;1492021930182
129;1492021930266
130;1492021930350
131;1492021930434
132;1492021930518
133;1492021930602
134;1492021930686
135;1492021930770
136;1492021930854
137;1492021930938
138;1492021931023
139;1492021931106
140;1492021931190
141;1492021931278
142;1492021931363
143;1492021931446
144;1492021931530
145;1492021931614
146;1492021931699
147;1492021931782
148;1492021931866
149;1492021931951
150;1492021932034
151;1492021932118
152;1492021932202
153;1492021932287
154;1492021932370
155;1492021932454
156;1492021932539
157;1492021932623
158;1492021932707
159;1492021932791
160;1492021932875
161;1492021932959
162;1492021933043
163;1492021933127
164;1492021933212
165;1492021933299
166;1492021933383
167;1492021933468
168;1492021933555
169;1492021933639
170;1492021933723
171;1492021933808
172;1492021933895
173;1492021933979
