Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1492021918556;1492021919515
1;1492021919654;1492021919657
2;1492021919738;1492021919739
3;1492021919822;1492021919823
4;1492021919911;1492021919911
5;1492021919994;1492021919995
6;1492021920078;1492021920079
7;1492021920158;1492021920159
8;1492021920238;1492021920239
9;1492021920318;1492021920319
10;1492021920398;1492021920399
11;1492021920478;1492021920479
12;1492021920558;1492021920559
13;1492021920638;1492021920639
14;1492021920718;1492021920719
15;1492021920798;1492021920799
16;1492021920878;1492021920879
17;1492021920958;1492021920959
18;1492021921038;1492021921039
19;1492021921118;1492021921119
20;1492021921198;1492021921199
21;1492021921278;1492021921279
22;1492021921358;1492021921359
23;1492021921438;1492021921439
24;1492021921518;1492021921520
25;1492021921598;1492021921599
26;1492021921678;1492021921679
27;1492021921758;1492021921759
28;1492021921838;1492021921839
29;1492021921918;1492021921919
30;1492021921998;1492021921999
31;1492021922078;1492021922079
32;1492021922166;1492021922167
33;1492021922246;1492021922247
34;1492021922326;1492021922327
35;1492021922406;1492021922407
36;1492021922486;1492021922487
37;1492021922566;1492021922568
38;1492021922646;1492021922647
39;1492021922726;1492021922727
40;1492021922806;1492021922807
41;1492021922886;1492021922887
42;1492021922966;1492021922967
43;1492021923046;1492021923047
44;1492021923126;1492021923127
45;1492021923206;1492021923207
46;1492021923290;1492021923291
47;1492021923370;1492021923371
48;1492021923450;1492021923451
49;1492021923530;1492021923531
50;1492021923610;1492021923611
51;1492021923690;1492021923691
52;1492021923770;1492021923771
53;1492021923850;1492021923851
54;1492021923930;1492021923931
55;1492021924010;1492021924011
56;1492021924090;1492021924091
57;1492021924174;1492021924175
58;1492021924254;1492021924255
59;1492021924334;1492021924335
60;1492021924414;1492021924415
61;1492021924498;1492021924499
62;1492021924582;1492021924583
63;1492021924666;1492021924667
64;1492021924750;1492021924751
65;1492021924842;1492021924843
66;1492021924926;1492021924928
67;1492021925010;1492021925020
68;1492021925102;1492021925103
69;1492021925186;1492021925187
70;1492021925270;1492021925271
71;1492021925354;1492021925355
72;1492021925438;1492021925463
73;1492021925546;1492021925547
74;1492021925630;1492021925631
75;1492021925714;1492021925715
76;1492021925798;1492021925799
77;1492021925882;1492021925883
78;1492021925966;1492021925967
79;1492021926050;1492021926051
80;1492021926134;1492021926135
81;1492021926218;1492021926219
82;1492021926302;1492021926303
83;1492021926386;1492021926387
84;1492021926470;1492021926472
85;1492021926554;1492021926555
86;1492021926638;1492021926639
87;1492021926722;1492021926723
88;1492021926806;1492021926807
89;1492021926890;1492021926891
90;1492021926974;1492021926976
91;1492021927058;1492021927059
92;1492021927142;1492021927143
93;1492021927226;1492021927227
94;1492021927310;1492021927311
95;1492021927394;1492021927395
96;1492021927478;1492021927479
97;1492021927562;1492021927563
98;1492021927646;1492021927647
99;1492021927730;1492021927731
100;1492021927814;1492021927816
101;1492021927898;1492021927899
102;1492021927982;1492021927983
103;1492021928066;1492021928068
104;1492021928150;1492021928151
105;1492021928234;1492021928235
106;1492021928318;1492021928319
107;1492021928402;1492021928403
108;1492021928486;1492021928487
109;1492021928570;1492021928571
110;1492021928654;1492021928655
111;1492021928738;1492021928739
112;1492021928822;1492021928823
113;1492021928906;1492021928907
114;1492021928990;1492021928995
115;1492021929078;1492021929081
116;1492021929162;1492021929166
117;1492021929250;1492021929253
118;1492021929334;1492021929338
119;1492021929418;1492021929420
120;1492021929502;1492021929504
121;1492021929586;1492021929587
122;1492021929670;1492021929671
123;1492021929754;1492021929755
124;1492021929838;1492021929839
125;1492021929922;1492021929923
126;1492021930006;1492021930007
127;1492021930090;1492021930091
128;1492021930174;1492021930175
129;1492021930258;1492021930259
130;1492021930342;1492021930343
131;1492021930426;1492021930427
132;1492021930510;1492021930511
133;1492021930594;1492021930595
134;1492021930678;1492021930679
135;1492021930762;1492021930763
136;1492021930846;1492021930847
137;1492021930930;1492021930932
138;1492021931014;1492021931015
139;1492021931098;1492021931099
140;1492021931182;1492021931189
141;1492021931270;1492021931271
142;1492021931354;1492021931355
143;1492021931438;1492021931439
144;1492021931522;1492021931523
145;1492021931606;1492021931607
146;1492021931690;1492021931691
147;1492021931774;1492021931775
148;1492021931858;1492021931859
149;1492021931942;1492021931943
150;1492021932026;1492021932027
151;1492021932110;1492021932111
152;1492021932194;1492021932195
153;1492021932278;1492021932279
154;1492021932362;1492021932363
155;1492021932446;1492021932447
156;1492021932530;1492021932531
157;1492021932614;1492021932615
158;1492021932698;1492021932699
159;1492021932782;1492021932783
160;1492021932866;1492021932867
161;1492021932950;1492021932952
162;1492021933034;1492021933035
163;1492021933118;1492021933120
164;1492021933206;1492021933207
165;1492021933290;1492021933291
166;1492021933374;1492021933375
167;1492021933462;1492021933463
