Contador;Tempo;Tempo Milisegundos;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento
2;15;1494080607980;1;200.0;0.32999998;3970948.0;113664.0;160.0;80.0;0.0016499999;0.001125;0.4;0.8;;1494080441
3;30;1494080623059;1;200.0;0.40999997;3970948.0;114688.0;160.0;80.0;0.0020499998;0.0015874999;0.4;0.8;;1494080452
4;45;1494080638783;1;200.0;12.129999;3970948.0;388096.0;160.0;80.0;0.060649995;0.031118747;0.4;0.8;;1494080471
5;60;1494080653139;1;200.0;32.79;3970948.0;779264.0;160.0;80.0;0.16395001;0.09753438;0.4;0.8;;1494080487
6;75;1494080669434;1;200.0;61.42;3970948.0;800768.0;160.0;80.0;0.3071;0.2023172;0.4;0.8;;1494080499
7;90;1494080683063;1;200.0;53.18;3970948.0;796672.0;160.0;80.0;0.26590002;0.2341086;0.4;0.8;;1494080516
8;105;1494080699004;1;200.0;64.95;3970948.0;855040.0;160.0;80.0;0.32474998;0.2794293;0.4;0.8;;1494080527
9;120;1494080713941;1;200.0;74.12;3970948.0;888832.0;160.0;80.0;0.37060001;0.32501465;0.4;0.8;;1494080544
10;135;1494080728410;1;200.0;79.24999;3970948.0;967680.0;160.0;80.0;0.39624995;0.3606323;0.4;0.8;;1494080556
11;150;1494080744302;1;200.0;82.24;3970948.0;1042432.0;160.0;80.0;0.4112;0.38591614;0.4;0.8;;1494080576
12;165;1494080757996;1;200.0;93.6;3970948.0;1071104.0;160.0;80.0;0.468;0.42695808;0.4;0.8;;1494080584
13;180;1494080772999;1;200.0;103.88;3970948.0;1078272.0;160.0;80.0;0.5194;0.47317904;0.4;0.8;;1494080606
14;195;1494080789250;1;200.0;107.57001;3970948.0;1115136.0;160.0;80.0;0.53785;0.5055145;0.4;0.8;;1494080624
15;210;1494080803550;1;200.0;113.28001;3970948.0;1154048.0;160.0;80.0;0.56640005;0.5359573;0.4;0.8;;1494080636
16;225;1494080818770;1;200.0;114.880005;3970948.0;1212416.0;160.0;80.0;0.5744;0.55517864;0.4;0.8;;1494080651
17;240;1494080833346;1;200.0;149.20001;3970948.0;1325056.0;160.0;80.0;0.74600005;0.65058935;0.4;0.8;;1494080664
18;255;1494080848754;1;200.0;135.06;3970948.0;1366016.0;160.0;80.0;0.6753;0.6629447;0.4;0.8;;1494080676
19;270;1494080864181;1;200.0;135.44998;3970948.0;1455104.0;160.0;80.0;0.6772499;0.6700973;0.4;0.8;;1494080696
20;285;1494080878007;1;200.0;135.27;3970948.0;1619968.0;160.0;80.0;0.67635;0.6732236;0.4;0.8;;1494080704
21;300;1494080893148;1;200.0;144.11;3970948.0;1644544.0;160.0;80.0;0.72055;0.6968868;0.4;0.8;;1494080726
22;315;1494080908414;1;200.0;139.73;3970948.0;1688576.0;160.0;80.0;0.69865;0.6977684;0.4;0.8;;1494080736
23;330;1494080923742;1;200.0;142.83002;3970948.0;1753088.0;160.0;80.0;0.7141501;0.7059592;0.4;0.8;;1494080756
24;345;1494080938557;1;200.0;147.97;3970948.0;1821696.0;160.0;80.0;0.73985;0.72290456;0.4;0.8;;1494080771
25;360;1494080953826;1;200.0;144.68;3970948.0;1893376.0;160.0;80.0;0.72339994;0.7231523;0.4;0.8;;1494080785
26;375;1494080968583;1;200.0;151.9;3970948.0;1949696.0;160.0;80.0;0.75949997;0.7413261;0.4;0.8;;1494080796
27;390;1494080983185;1;200.0;150.24;3970948.0;2053120.0;160.0;80.0;0.7512;0.746263;0.4;0.8;;1494080816
28;405;1494080998123;1;200.0;150.60999;3970948.0;2171904.0;160.0;80.0;0.7530499;0.74965644;0.4;0.8;;1494080824
29;420;1494081013016;1;200.0;154.48999;3970948.0;2176000.0;160.0;80.0;0.77245;0.7610532;0.4;0.8;;1494080846
30;435;1494081029281;1;200.0;151.04999;3970948.0;2204672.0;160.0;80.0;0.7552499;0.75815153;0.4;0.8;;1494080864
31;450;1494081043910;1;200.0;155.95999;3970948.0;2241536.0;160.0;80.0;0.77979994;0.76897573;0.4;0.8;;1494080876
32;465;1494081058252;1;200.0;152.1;3970948.0;2265088.0;160.0;80.0;0.7605;0.76473784;0.4;0.8;;1494080892
33;480;1494081073878;1;200.0;156.87;3970948.0;2289664.0;160.0;80.0;0.78435;0.7745439;0.4;0.8;;1494080904
34;495;1494081088052;1;200.0;156.08;3970948.0;2291712.0;160.0;80.0;0.78040004;0.77747196;0.4;0.8;;1494080921
35;510;1494081103116;1;200.0;158.8;3970948.0;2369536.0;160.0;80.0;0.794;0.78573596;0.4;0.8;;1494080932
36;525;1494081118849;1;200.0;154.51;3970948.0;2368512.0;160.0;80.0;0.77255;0.779143;0.4;0.8;;1494080949
37;540;1494081133210;1;200.0;157.73999;3970948.0;2375680.0;160.0;80.0;0.7886999;0.7839215;0.4;0.8;;1494080961
38;555;1494081149478;1;200.0;151.87;3970948.0;2375680.0;160.0;80.0;0.75935;0.7716358;0.4;0.8;;1494080981
39;570;1494081163246;1;200.0;160.93;3970948.0;2468864.0;160.0;80.0;0.80464995;0.78814286;0.4;0.8;;1494080989
40;585;1494081178011;1;200.0;163.81;3970948.0;2488320.0;160.0;80.0;0.81905;0.80359644;0.4;0.8;;1494081011
41;641;1494081235209;1;200.0;161.29001;3970948.0;2546688.0;160.0;80.0;0.80645007;0.80502325;0.4;0.8;;1494081061
42;656;1494081253273;1;200.0;163.59;3970948.0;2612224.0;160.0;80.0;0.81795;0.8114866;0.4;0.8;;1494081082
43;671;1494081265259;2;400.0;168.26;7941896.0;2672641.2;320.0;160.0;0.42064998;0.6160683;0.4;0.8;;1494081085;1494081093
44;686;1494081283276;2;400.0;175.43;7941896.0;2877440.8;320.0;160.0;0.43857497;0.52732164;0.4;0.8;;1494081116;1494081113
45;701;1494081299231;2;400.0;138.4;7941896.0;3687424.0;320.0;160.0;0.346;0.43666083;0.4;0.8;;1494081121;1494081130
46;716;1494081317711;2;400.0;237.18999;7941896.0;4197376.0;320.0;160.0;0.59297496;0.5148179;0.4;0.8;;1494081142;1494081143
47;731;1494081333295;2;400.0;223.74;7941896.0;4699136.0;320.0;160.0;0.55935;0.537084;0.4;0.8;;1494081163;1494081163
48;746;1494081350916;2;400.0;224.54002;7941896.0;4700160.0;320.0;160.0;0.56135005;0.549217;0.4;0.8;;1494081175;1494081184
49;761;1494081364693;2;400.0;229.87;7941896.0;4701184.0;320.0;160.0;0.57467496;0.561946;0.4;0.8;;1494081184;1494081194
50;776;1494081381681;2;400.0;234.38;7941896.0;4704256.0;320.0;160.0;0.58595;0.573948;0.4;0.8;;1494081203;1494081214
51;791;1494081399332;2;400.0;233.59001;7941896.0;4705280.0;320.0;160.0;0.583975;0.5789615;0.4;0.8;;1494081223;1494081232
52;807;1494081409568;2;400.0;230.12001;7941896.0;4704256.0;320.0;160.0;0.57530004;0.5771308;0.4;0.8;;1494081236;1494081243
53;822;1494081424277;2;400.0;234.18999;7941896.0;4704256.0;320.0;160.0;0.58547497;0.5813029;0.4;0.8;;1494081253;1494081253
54;837;1494081441727;2;400.0;236.75;7941896.0;4714496.0;320.0;160.0;0.591875;0.586589;0.4;0.8;;1494081272;1494081275
55;852;1494081457147;2;400.0;243.79001;7941896.0;4718592.0;320.0;160.0;0.609475;0.598032;0.4;0.8;;1494081282;1494081287
56;867;1494081465959;2;400.0;242.27;7941896.0;4726784.0;320.0;160.0;0.605675;0.6018535;0.4;0.8;;1494081293;1494081295
57;882;1494081479181;2;400.0;253.85;7941896.0;4744192.0;320.0;160.0;0.634625;0.6182393;0.4;0.8;;1494081312;1494081307
58;897;1494081495444;2;400.0;246.17001;7941896.0;4764672.0;320.0;160.0;0.61542505;0.61683214;0.4;0.8;;1494081327;1494081327
59;912;1494081508977;2;400.0;252.69002;7941896.0;4812800.0;320.0;160.0;0.6317251;0.6242786;0.4;0.8;;1494081339;1494081339
60;927;1494081526134;2;400.0;253.54999;7941896.0;4818944.0;320.0;160.0;0.63387495;0.6290768;0.4;0.8;;1494081347;1494081360
61;942;1494081539028;2;400.0;250.76;7941896.0;4828160.0;320.0;160.0;0.62689996;0.62798834;0.4;0.8;;1494081367;1494081367
62;957;1494081560483;2;400.0;248.31999;7941896.0;4817920.0;320.0;160.0;0.62079996;0.6243942;0.4;0.8;;1494081380;1494081388
63;972;1494081580725;2;400.0;253.80998;7941896.0;4850688.0;320.0;160.0;0.63452494;0.62945956;0.4;0.8;;1494081402;1494081407
64;988;1494081594991;2;400.0;249.93;7941896.0;4889600.0;320.0;160.0;0.624825;0.6271423;0.4;0.8;;1494081419;1494081428
65;1003;1494081608169;2;400.0;245.70999;7941896.0;4891648.0;320.0;160.0;0.614275;0.62070864;0.4;0.8;;1494081428;1494081438
66;1018;1494081624302;2;400.0;257.36002;7941896.0;4897792.0;320.0;160.0;0.6434;0.6320543;0.4;0.8;;1494081449;1494081449
67;1033;1494081636591;2;400.0;263.68;7941896.0;4900864.0;320.0;160.0;0.65919995;0.64562714;0.4;0.8;;1494081464;1494081469
68;1048;1494081654916;2;400.0;257.52;7941896.0;4905984.0;320.0;160.0;0.64379996;0.6447135;0.4;0.8;;1494081478;1494081487
69;1063;1494081679627;2;400.0;258.33;7941896.0;4924416.0;320.0;160.0;0.64582497;0.6452693;0.4;0.8;;1494081498;1494081509
70;1087;1494081695627;2;400.0;265.99997;7941896.0;4926464.0;320.0;160.0;0.6649999;0.65513456;0.4;0.8;;1494081509;1494081528
71;1103;1494081716002;2;400.0;260.71;7941896.0;4979712.0;320.0;160.0;0.651775;0.6534548;0.4;0.8;;1494081528;1494081549
72;1124;1494081725043;2;400.0;263.06;7941896.0;4982784.0;320.0;160.0;0.65765;0.6555524;0.4;0.8;;1494081548;1494081558
73;1139;1494081746703;2;400.0;262.93997;7941896.0;4996096.0;320.0;160.0;0.65734994;0.65645117;0.4;0.8;;1494081569;1494081581
74;1154;1494081761456;2;400.0;265.25;7941896.0;4998144.0;320.0;160.0;0.663125;0.6597881;0.4;0.8;;1494081588;1494081593
75;1169;1494081774096;2;400.0;269.28998;7941896.0;5000192.0;320.0;160.0;0.6732249;0.6665065;0.4;0.8;;1494081599;1494081601
76;1184;1494081786067;2;400.0;268.05;7941896.0;5002240.0;320.0;160.0;0.67012495;0.66831577;0.4;0.8;;1494081608;1494081614
77;1199;1494081805021;2;400.0;266.28003;7941896.0;5063680.0;320.0;160.0;0.6657001;0.6670079;0.4;0.8;;1494081629;1494081634
78;1214;1494081814216;2;400.0;267.64;7941896.0;5091328.0;320.0;160.0;0.66910005;0.668054;0.4;0.8;;1494081629;1494081646
79;1229;1494081826866;2;400.0;260.63;7941896.0;5092352.0;320.0;160.0;0.651575;0.6598145;0.4;0.8;;1494081650;1494081653
80;1244;1494081844445;2;400.0;269.27002;7941896.0;5091328.0;320.0;160.0;0.67317504;0.6664947;0.4;0.8;;1494081674;1494081675
81;1259;1494081866351;2;400.0;267.25;7941896.0;5104640.0;320.0;160.0;0.668125;0.6673099;0.4;0.8;;1494081688;1494081692
82;1274;1494081871788;2;400.0;270.41998;7941896.0;5111808.0;320.0;160.0;0.67604995;0.6716799;0.4;0.8;;1494081695;1494081703
83;1289;1494081889205;2;400.0;277.93997;7941896.0;5124096.0;320.0;160.0;0.6948499;0.6832649;0.4;0.8;;1494081715;1494081723
84;1304;1494081905755;2;400.0;265.77;7941896.0;5126144.0;320.0;160.0;0.66442496;0.67384493;0.4;0.8;;1494081733;1494081740
85;1319;1494081931165;2;400.0;268.81003;7941896.0;5136384.0;320.0;160.0;0.6720251;0.672935;0.4;0.8;;1494081752;1494081761
86;1339;1494081943220;2;400.0;267.58002;7941896.0;5150720.0;320.0;160.0;0.66895;0.67094254;0.4;0.8;;1494081764;1494081773
87;1354;1494081955622;2;400.0;274.61;7941896.0;5182464.0;320.0;160.0;0.686525;0.67873377;0.4;0.8;;1494081783;1494081784
