Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1492726706935;1492726709388
1;1492726709922;1492726709925
2;1492726710294;1492726710295
3;1492726710666;1492726710667
4;1492726711019;1492726711020
5;1492726711402;1492726711403
6;1492726711750;1492726711752
7;1492726712098;1492726712099
8;1492726712446;1492726712447
9;1492726712794;1492726712795
10;1492726713142;1492726713143
11;1492726713502;1492726713503
12;1492726713862;1492726713863
13;1492726714210;1492726714211
14;1492726714558;1492726714559
15;1492726714906;1492726714907
16;1492726715254;1492726715255
17;1492726715602;1492726715603
18;1492726715950;1492726715951
19;1492726716298;1492726716299
20;1492726716646;1492726716647
21;1492726716994;1492726716995
22;1492726717342;1492726717343
23;1492726717690;1492726717691
24;1492726718038;1492726718039
25;1492726718386;1492726718387
26;1492726718734;1492726718735
27;1492726719082;1492726719092
28;1492726719446;1492726719448
29;1492726719802;1492726719803
30;1492726720150;1492726720155
31;1492726720506;1492726720507
32;1492726720858;1492726720860
33;1492726721210;1492726721211
34;1492726721562;1492726721563
35;1492726721914;1492726721915
36;1492726722262;1492726722263
37;1492726722614;1492726722615
38;1492726722966;1492726722969
39;1492726723318;1492726723319
40;1492726723670;1492726723671
41;1492726724022;1492726724023
42;1492726724374;1492726724375
43;1492726724726;1492726724730
44;1492726725082;1492726725083
45;1492726725434;1492726725435
46;1492726725786;1492726725787
47;1492726726138;1492726726139
48;1492726726490;1492726726491
49;1492726726842;1492726726845
50;1492726727194;1492726727195
51;1492726727542;1492726727543
52;1492726727894;1492726727895
53;1492726728246;1492726728247
54;1492726728606;1492726728607
55;1492726728958;1492726728959
56;1492726729310;1492726729311
57;1492726729658;1492726729659
58;1492726730006;1492726730007
59;1492726730354;1492726730370
60;1492726730718;1492726730719
61;1492726731066;1492726731067
62;1492726731414;1492726731415
63;1492726731762;1492726731763
64;1492726732118;1492726732119
65;1492726732474;1492726732475
66;1492726732826;1492726732827
67;1492726733174;1492726733175
68;1492726733522;1492726733523
69;1492726733870;1492726733871
70;1492726734218;1492726734219
71;1492726734566;1492726734567
72;1492726734914;1492726734916
73;1492726735266;1492726735267
74;1492726735614;1492726735615
75;1492726735962;1492726735963
76;1492726736310;1492726736311
77;1492726736658;1492726736659
78;1492726737006;1492726737009
79;1492726737358;1492726737360
80;1492726737710;1492726737711
81;1492726738062;1492726738063
82;1492726738410;1492726738411
83;1492726738758;1492726738759
84;1492726739106;1492726739107
85;1492726739454;1492726739456
86;1492726739802;1492726739804
87;1492726740154;1492726740156
88;1492726740502;1492726740503
89;1492726740850;1492726740856
90;1492726741202;1492726741203
91;1492726741550;1492726741558
92;1492726741906;1492726741907
93;1492726742254;1492726742255
94;1492726742602;1492726742603
95;1492726742950;1492726742955
96;1492726743302;1492726743303
97;1492726743650;1492726743651
98;1492726743998;1492726743999
99;1492726744350;1492726744351
100;1492726744702;1492726744703
101;1492726745050;1492726745051
102;1492726745398;1492726745399
103;1492726745746;1492726745747
104;1492726746094;1492726746095
105;1492726746442;1492726746443
106;1492726746794;1492726746795
107;1492726747142;1492726747143
108;1492726747498;1492726747500
109;1492726747846;1492726747848
110;1492726748194;1492726748195
111;1492726748546;1492726748547
112;1492726748894;1492726748895
113;1492726749242;1492726749243
114;1492726749590;1492726749591
115;1492726749938;1492726749939
116;1492726750286;1492726750287
117;1492726750634;1492726750635
118;1492726750982;1492726750983
119;1492726751330;1492726751331
120;1492726751678;1492726751679
121;1492726752026;1492726752027
122;1492726752374;1492726752375
123;1492726752722;1492726752724
124;1492726753070;1492726753071
125;1492726753418;1492726753419
126;1492726753766;1492726753767
127;1492726754114;1492726754118
128;1492726754470;1492726754471
129;1492726754822;1492726754823
130;1492726755170;1492726755171
131;1492726755526;1492726755527
132;1492726755874;1492726755875
133;1492726756226;1492726756229
134;1492726756578;1492726756579
135;1492726756926;1492726756927
136;1492726757274;1492726757275
137;1492726757622;1492726757623
138;1492726757970;1492726757971
139;1492726758318;1492726758319
140;1492726758666;1492726758667
141;1492726759014;1492726759015
142;1492726759362;1492726759363
143;1492726759710;1492726759711
144;1492726760058;1492726760059
145;1492726760406;1492726760407
146;1492726760754;1492726760755
147;1492726761102;1492726761105
148;1492726761450;1492726761454
149;1492726761802;1492726761804
150;1492726762150;1492726762151
151;1492726762498;1492726762499
152;1492726762846;1492726762847
153;1492726763194;1492726763195
154;1492726763542;1492726763543
155;1492726763890;1492726763891
156;1492726764238;1492726764239
157;1492726764594;1492726764596
158;1492726764938;1492726764939
159;1492726765282;1492726765283
160;1492726765626;1492726765628
161;1492726765970;1492726765971
162;1492726766314;1492726766315
163;1492726766662;1492726766663
164;1492726767010;1492726767013
165;1492726767358;1492726767359
166;1492726767706;1492726767707
167;1492726768058;1492726768059
168;1492726768406;1492726768407
169;1492726768754;1492726768755
170;1492726769102;1492726769103
171;1492726769450;1492726769453
172;1492726769798;1492726769799
173;1492726770146;1492726770148
174;1492726770494;1492726770495
175;1492726770838;1492726770839
176;1492726771182;1492726771183
177;1492726771526;1492726771527
178;1492726771874;1492726771875
179;1492726772218;1492726772219
180;1492726772566;1492726772567
181;1492726772910;1492726772917
182;1492726773262;1492726773263
183;1492726773606;1492726773607
184;1492726773950;1492726773951
