T1-AntesDeConectar;T2-AposConectar
1492728603941;1492728808385

Contador;IniLoop
0;1492728808389
1;1492728808806
2;1492728809105
3;1492728809412
4;1492728809696
5;1492728810002
6;1492728810286
7;1492728810569
8;1492728810853
9;1492728811168
10;1492728811452
11;1492728811732
12;1492728812011
13;1492728812304
14;1492728812609
15;1492728812887
16;1492728813186
17;1492728813468
18;1492728813749
19;1492728814034
20;1492728814315
21;1492728814596
22;1492728814876
23;1492728815158
24;1492728815446
25;1492728815727
26;1492728816008
27;1492728816288
28;1492728816569
29;1492728816848
30;1492728817128
31;1492728817407
32;1492728817687
33;1492728817967
34;1492728818249
35;1492728818530
36;1492728818811
37;1492728819091
38;1492728819381
39;1492728819672
40;1492728819959
41;1492728820246
42;1492728820536
43;1492728820817
44;1492728821097
45;1492728821377
46;1492728821658
47;1492728821941
48;1492728822220
49;1492728822502
50;1492728822784
51;1492728823065
52;1492728823348
53;1492728823629
54;1492728823913
55;1492728824198
56;1492728824482
57;1492728824768
58;1492728825055
59;1492728825351
60;1492728825636
61;1492728825918
62;1492728826204
63;1492728826492
64;1492728826774
65;1492728827059
66;1492728827342
67;1492728827628
68;1492728827910
69;1492728828193
70;1492728828479
71;1492728828763
72;1492728829052
73;1492728829335
74;1492728829623
75;1492728829904
76;1492728830192
77;1492728830474
78;1492728830760
79;1492728831041
80;1492728831322
81;1492728831608
82;1492728831890
83;1492728832174
84;1492728832457
85;1492728832742
86;1492728833026
87;1492728833309
88;1492728833594
89;1492728833880
90;1492728834164
91;1492728834445
92;1492728834729
93;1492728835013
94;1492728835297
95;1492728835587
96;1492728835871
97;1492728836151
98;1492728836435
99;1492728836719
100;1492728836999
101;1492728837279
102;1492728837563
103;1492728837847
104;1492728838129
105;1492728838412
106;1492728838692
107;1492728838976
108;1492728839259
109;1492728839551
110;1492728839839
111;1492728840139
112;1492728840434
113;1492728840726
114;1492728841009
115;1492728841293
116;1492728841577
117;1492728841862
118;1492728842150
119;1492728842432
120;1492728842712
121;1492728842994
122;1492728843276
123;1492728843561
124;1492728843843
125;1492728844125
126;1492728844408
127;1492728844688
128;1492728844982
129;1492728845264
130;1492728845592
131;1492728845931
132;1492728846213
133;1492728846500
134;1492728846781
135;1492728847065
136;1492728847346
137;1492728847633
138;1492728847917
139;1492728848196
140;1492728848477
141;1492728848758
142;1492728849046
143;1492728849330
144;1492728849618
145;1492728849898
146;1492728850178
147;1492728850458
148;1492728850739
149;1492728851018
150;1492728851301
151;1492728851582
152;1492728851863
153;1492728852148
154;1492728852431
155;1492728852712
156;1492728852993
157;1492728853272
158;1492728853550
159;1492728853835
160;1492728854116
161;1492728854395
162;1492728854678
163;1492728854959
164;1492728855241
165;1492728855523
166;1492728855803
167;1492728856090
168;1492728857700
169;1492728858058
170;1492728858273
171;1492728858496
172;1492728858694
173;1492728858908
174;1492728859111
175;1492728859318
176;1492728859514
177;1492728859761
178;1492728859954
179;1492728860143
180;1492728860344
181;1492728860538
182;1492728860747
183;1492728860940
184;1492728861131
185;1492728861324
186;1492728861516
187;1492728861708
188;1492728861902
189;1492728862096
190;1492728862289
191;1492728862479
192;1492728862672
193;1492728862864
194;1492728863058
195;1492728863248
196;1492728863441
197;1492728863632
198;1492728863823
199;1492728864015
200;1492728864212
201;1492728864405
202;1492728864596
203;1492728864787
204;1492728864979
205;1492728865172
206;1492728865364
207;1492728865555
208;1492728865747
209;1492728865981
210;1492728866264
211;1492728866540
212;1492728866780
213;1492728867004
214;1492728867245
215;1492728867448
216;1492728867639
217;1492728867831
218;1492728868026
219;1492728868215
220;1492728868407
221;1492728868647
222;1492728868841
223;1492728869036
224;1492728869233
225;1492728869467
226;1492728869660
227;1492728869852
228;1492728870044
229;1492728870238
230;1492728870432
231;1492728870631
232;1492728870824
233;1492728871020
234;1492728871211
235;1492728871410
236;1492728871604
237;1492728871798
238;1492728871991
239;1492728872183
240;1492728872377
241;1492728872571
242;1492728872764
243;1492728872956
244;1492728873149
245;1492728873338
246;1492728873531
247;1492728873724
248;1492728873915
249;1492728874107
250;1492728874299
251;1492728874493
252;1492728874686
253;1492728874885
254;1492728875079
255;1492728875271
256;1492728875463
257;1492728875659
258;1492728875851
259;1492728876042
260;1492728876237
261;1492728876440
262;1492728876626
263;1492728876818
264;1492728877010
265;1492728877203
266;1492728877395
267;1492728877592
268;1492728877783
269;1492728877975
270;1492728878167
271;1492728878359
272;1492728878553
273;1492728878755
274;1492728878939
275;1492728879132
276;1492728879325
277;1492728879529
278;1492728879727
279;1492728879919
280;1492728880112
281;1492728880307
282;1492728880500
283;1492728880693
284;1492728880885
285;1492728881078
286;1492728881270
287;1492728881463
288;1492728881659
289;1492728881852
290;1492728882043
291;1492728882234
292;1492728882428
293;1492728882623
294;1492728882817
295;1492728883006
296;1492728883198
297;1492728883396
298;1492728883589
299;1492728883788
300;1492728883982
301;1492728884219
302;1492728884479
303;1492728884740
304;1492728884971
305;1492728885166
306;1492728885358
307;1492728885553
308;1492728885757
309;1492728885949
310;1492728886142
311;1492728886338
312;1492728886530
313;1492728886756
314;1492728887003
315;1492728887212
316;1492728887409
317;1492728887601
318;1492728887794
319;1492728887987
320;1492728888179
321;1492728888369
322;1492728888563
323;1492728888753
324;1492728888950
325;1492728889154
326;1492728889394
327;1492728889581
328;1492728889770
329;1492728889962
330;1492728890153
331;1492728890350
332;1492728890536
333;1492728890733
334;1492728890923
335;1492728891115
336;1492728891307
337;1492728891500
338;1492728891689
339;1492728891881
340;1492728892074
341;1492728892266
342;1492728892458
343;1492728892649
344;1492728892840
345;1492728893030
346;1492728893221
347;1492728893413
348;1492728893602
349;1492728893794
350;1492728893986
351;1492728894178
352;1492728894371
353;1492728894567
354;1492728894757
355;1492728894954
356;1492728895145
357;1492728895338
358;1492728895530
359;1492728895728
360;1492728895917
361;1492728896110
362;1492728896298
363;1492728896490
364;1492728896681
365;1492728896879
366;1492728897078
367;1492728897257
368;1492728897449
369;1492728897641
370;1492728897835
371;1492728898026
372;1492728898218
373;1492728898409
374;1492728898601
375;1492728898793
376;1492728898988
377;1492728899180
378;1492728899369
379;1492728899565
380;1492728899764
381;1492728899963
382;1492728900147
383;1492728900339
384;1492728900538
385;1492728900726
386;1492728900918
387;1492728901109
388;1492728901309
389;1492728901494
390;1492728901688
391;1492728901876
392;1492728902061
393;1492728902252
394;1492728902445
395;1492728902635
396;1492728902829
397;1492728903021
398;1492728903216
399;1492728903406
400;1492728903596
401;1492728903790
402;1492728903984
403;1492728904175
404;1492728904403
405;1492728904656
406;1492728904897
407;1492728905091
408;1492728905300
409;1492728905498
410;1492728905694
411;1492728905886
412;1492728906082
413;1492728906275
414;1492728906467
415;1492728906658
416;1492728906849
417;1492728907033
418;1492728907222
419;1492728907475
420;1492728907708
421;1492728907934
422;1492728908124
423;1492728908318
424;1492728908509
425;1492728908701
426;1492728908900
427;1492728909082
428;1492728909276
429;1492728909469
430;1492728909658
431;1492728909853
432;1492728910087
433;1492728910276
434;1492728910472
435;1492728910660
436;1492728910847
437;1492728911035
438;1492728911223
439;1492728911411
440;1492728911601
441;1492728911788
442;1492728911979
443;1492728912183
444;1492728912380
445;1492728912567
446;1492728912756
447;1492728912946
448;1492728913131
449;1492728913321
450;1492728913508
451;1492728913696
452;1492728913886
453;1492728914076
454;1492728914263
455;1492728914452
456;1492728914640
457;1492728914831
458;1492728915019
459;1492728915212
460;1492728915402
461;1492728915593
462;1492728915787
463;1492728915976
464;1492728917508
465;1492728917793
466;1492728917948
467;1492728918095
468;1492728918254
469;1492728918403
470;1492728918542
471;1492728918681
472;1492728918854
473;1492728918998
474;1492728919139
475;1492728919280
476;1492728919478
477;1492728919591
478;1492728919763
479;1492728919903
480;1492728920041
481;1492728920184
482;1492728920324
483;1492728920461
484;1492728920603
485;1492728920745
486;1492728920887
487;1492728921027
488;1492728921168
489;1492728921307
490;1492728921450
491;1492728921589
492;1492728921731
493;1492728921870
494;1492728922009
495;1492728922153
496;1492728922295
497;1492728922434
498;1492728922574
499;1492728922716
500;1492728922861
501;1492728923031
502;1492728923233
503;1492728923458
504;1492728923595
505;1492728923774
506;1492728923916
507;1492728924064
508;1492728924255
509;1492728924442
510;1492728924619
511;1492728924761
512;1492728924944
513;1492728925102
514;1492728925241
515;1492728925382
516;1492728925524
517;1492728925661
518;1492728925850
519;1492728925950
520;1492728926095
521;1492728926229
522;1492728926372
523;1492728926511
524;1492728926651
525;1492728926791
526;1492728926930
527;1492728927076
528;1492728927267
529;1492728927404
530;1492728927547
531;1492728927689
532;1492728927827
533;1492728927966
534;1492728928147
535;1492728928319
536;1492728928494
537;1492728928637
538;1492728928775
539;1492728928914
540;1492728929057
541;1492728929198
542;1492728929339
543;1492728929478
544;1492728929619
545;1492728929762
546;1492728929905
547;1492728930043
548;1492728930183
549;1492728930324
550;1492728930466
551;1492728930614
552;1492728930756
553;1492728930896
554;1492728931037
555;1492728931173
556;1492728931318
557;1492728931456
558;1492728931593
559;1492728931735
560;1492728931873
561;1492728932015
562;1492728932155
563;1492728932294
564;1492728932435
565;1492728932575
566;1492728932722
567;1492728932863
568;1492728933004
569;1492728933145
570;1492728933281
571;1492728933423
572;1492728933562
573;1492728933703
574;1492728933844
575;1492728933983
576;1492728934123
577;1492728934263
578;1492728934401
579;1492728934548
580;1492728934684
581;1492728934821
582;1492728934961
583;1492728935103
584;1492728935241
585;1492728935383
586;1492728935526
587;1492728935663
588;1492728935802
589;1492728935942
590;1492728936083
591;1492728936223
592;1492728936363
593;1492728936506
594;1492728936647
595;1492728936793
596;1492728936934
597;1492728937076
598;1492728937215
599;1492728937354
600;1492728937517
601;1492728937684
602;1492728937852
603;1492728938029
604;1492728938254
605;1492728938392
606;1492728938543
607;1492728938712
608;1492728938904
609;1492728939031
610;1492728939171
611;1492728939310
612;1492728939450
613;1492728939591
614;1492728939729
615;1492728939870
616;1492728940030
617;1492728940181
618;1492728940317
619;1492728940458
620;1492728940598
621;1492728940739
622;1492728940879
623;1492728941072
624;1492728941164
625;1492728941305
626;1492728941445
627;1492728941584
628;1492728941725
629;1492728941866
630;1492728942005
631;1492728942147
632;1492728942285
633;1492728942425
634;1492728942569
635;1492728942710
636;1492728942849
637;1492728942991
638;1492728943136
639;1492728943278
640;1492728943417
641;1492728943557
642;1492728943698
643;1492728943837
644;1492728943977
645;1492728944118
646;1492728944259
647;1492728944396
648;1492728944534
649;1492728944674
650;1492728944815
651;1492728944955
652;1492728945102
653;1492728945277
654;1492728945492
655;1492728945647
656;1492728945789
657;1492728945959
658;1492728946121
659;1492728946263
660;1492728946402
661;1492728946542
662;1492728946682
663;1492728946823
664;1492728946962
665;1492728947102
666;1492728947242
667;1492728947382
668;1492728947521
669;1492728947665
670;1492728947801
671;1492728947942
672;1492728948081
673;1492728948250
674;1492728948386
675;1492728948531
676;1492728948673
677;1492728948849
678;1492728949019
679;1492728949196
680;1492728949334
681;1492728949475
682;1492728949614
683;1492728949748
684;1492728949890
685;1492728950031
686;1492728950175
687;1492728950313
688;1492728950452
689;1492728950590
690;1492728950729
691;1492728950870
692;1492728951011
693;1492728951149
694;1492728951313
695;1492728951454
696;1492728951593
697;1492728951732
698;1492728951870
699;1492728952010
700;1492728952150
701;1492728952287
702;1492728952425
703;1492728952562
704;1492728952698
705;1492728952832
706;1492728952971
707;1492728953111
708;1492728953254
709;1492728953395
710;1492728953530
711;1492728953669
712;1492728953807
713;1492728953957
714;1492728954142
715;1492728954312
716;1492728954448
717;1492728954616
718;1492728954788
719;1492728954950
720;1492728955113
721;1492728955251
722;1492728955390
723;1492728955525
724;1492728955663
725;1492728955805
726;1492728955945
727;1492728956082
728;1492728956218
729;1492728956359
730;1492728956497
731;1492728956634
732;1492728956773
733;1492728956908
734;1492728957076
735;1492728957208
736;1492728957346
737;1492728957486
738;1492728957624
739;1492728957761
740;1492728957901
741;1492728958037
742;1492728958225
743;1492728958407
744;1492728958529
745;1492728958690
746;1492728958824
747;1492728958960
748;1492728959119
749;1492728959242
750;1492728959382
751;1492728959520
752;1492728959658
753;1492728959797
754;1492728959933
755;1492728960077
756;1492728960219
757;1492728960359
758;1492728960495
759;1492728960686
760;1492728960786
761;1492728960921
762;1492728961058
763;1492728961198
764;1492728961338
765;1492728961475
766;1492728961613
767;1492728961763
768;1492728961978
769;1492728962145
770;1492728962297
771;1492728962473
772;1492728962656
773;1492728962827
774;1492728963001
775;1492728963173
776;1492728963332
777;1492728963488
778;1492728963674
779;1492728963837
780;1492728963977
781;1492728964111
782;1492728964252
783;1492728964388
784;1492728964524
785;1492728964660
786;1492728964798
787;1492728964937
788;1492728965140
789;1492728965297
790;1492728965448
791;1492728965584
792;1492728965727
793;1492728965949
794;1492728966142
795;1492728966323
796;1492728966504
797;1492728966689
798;1492728966901
799;1492728967117
800;1492728967306
801;1492728967460
802;1492728967600
803;1492728967753
804;1492728967984
805;1492728968125
806;1492728968300
807;1492728968445
808;1492728968637
809;1492728968772
810;1492728968914
811;1492728969048
812;1492728969217
813;1492728969393
814;1492728969548
815;1492728969727
816;1492728969882
817;1492728970017
818;1492728970156
819;1492728970297
820;1492728970431
821;1492728970568
822;1492728970705
823;1492728970839
824;1492728970975
825;1492728971113
826;1492728971263
827;1492728971399
828;1492728971536
829;1492728971676
830;1492728971812
831;1492728971963
832;1492728972100
833;1492728972238
834;1492728972377
835;1492728972512
836;1492728972648
837;1492728972786
838;1492728972924
839;1492728973060
840;1492728973212
841;1492728973336
842;1492728973475
843;1492728973613
844;1492728973747
845;1492728973885
846;1492728974019
847;1492728974156
848;1492728974293
849;1492728974443
850;1492728974576
851;1492728974712
852;1492728974849
853;1492728974987
854;1492728975158
855;1492728975314
856;1492728975498
857;1492728975648
858;1492728975813
859;1492728975977
860;1492728978100
861;1492728978371
862;1492728978536
863;1492728978712
864;1492728978871
865;1492728979016
866;1492728979163
867;1492728979292
868;1492728979438
869;1492728979578
870;1492728979737
871;1492728979903
872;1492728980067
873;1492728980218
874;1492728980372
875;1492728980532
876;1492728980679
877;1492728980821
878;1492728980985
879;1492728981169
880;1492728981333
881;1492728981477
882;1492728981614
883;1492728981760
884;1492728981906
885;1492728982063
886;1492728982213
887;1492728982358
888;1492728982497
889;1492728982639
890;1492728982785
891;1492728982938
892;1492728983080
893;1492728983225
894;1492728983371
895;1492728983515
896;1492728983664
897;1492728983797
898;1492728983953
899;1492728984098
900;1492728984236
901;1492728984384
902;1492728984540
903;1492728984691
904;1492728984837
905;1492728984981
906;1492728985127
907;1492728985272
908;1492728985414
909;1492728985566
910;1492728985713
911;1492728985858
912;1492728986007
913;1492728986149
914;1492728986290
915;1492728986437
916;1492728986577
917;1492728986736
918;1492728986876
919;1492728987023
920;1492728987167
921;1492728987311
922;1492728987461
923;1492728987613
924;1492728987746
925;1492728987891
926;1492728988032
927;1492728988179
928;1492728988320
929;1492728988470
930;1492728988620
931;1492728988765
932;1492728988922
933;1492728989065
934;1492728989206
935;1492728989410
936;1492728989617
937;1492728989830
938;1492728990040
939;1492728990255
940;1492728990437
941;1492728990622
942;1492728990738
943;1492728990877
944;1492728991021
945;1492728991173
946;1492728991322
947;1492728991470
948;1492728991618
949;1492728991772
950;1492728991919
951;1492728992066
952;1492728992210
953;1492728992395
954;1492728992529
955;1492728992730
956;1492728992854
957;1492728993007
958;1492728993157
959;1492728993349
960;1492728993479
961;1492728993609
962;1492728993794
963;1492728993940
964;1492728994127
965;1492728994279
966;1492728994504
967;1492728994610
968;1492728994783
969;1492728994927
970;1492728995083
971;1492728995214
972;1492728995390
973;1492728995577
974;1492728995683
975;1492728995816
976;1492728995967
977;1492728996127
978;1492728996323
979;1492728996462
980;1492728996631
981;1492728996762
982;1492728996891
983;1492728997049
984;1492728997179
985;1492728997359
986;1492728997510
987;1492728997675
988;1492728997794
989;1492728997928
990;1492728998078
991;1492728998246
992;1492728998379
993;1492728998523
994;1492728998672
995;1492728998818
996;1492728998968
997;1492728999119
998;1492728999257
999;1492728999420
1000;1492728999550
1001;1492728999715
1002;1492728999855
1003;1492729000008
1004;1492729000156
1005;1492729000309
1006;1492729000465
1007;1492729000599
1008;1492729000741
1009;1492729000876
1010;1492729001025
1011;1492729001168
1012;1492729001324
1013;1492729001467
1014;1492729001608
1015;1492729001776
1016;1492729001898
1017;1492729002050
1018;1492729002202
1019;1492729002347
1020;1492729002497
1021;1492729002641
1022;1492729002781
1023;1492729002936
1024;1492729003077
1025;1492729003217
1026;1492729003364
1027;1492729003513
1028;1492729003654
1029;1492729003805
1030;1492729003950
1031;1492729004097
1032;1492729004242
1033;1492729004385
1034;1492729004532
1035;1492729004673
1036;1492729004812
1037;1492729004963
