Tarefa;T1-AntesDoEnvio;T2-AposReceberResposta
0;1492731445231;1492731445742
1;1492731445746;1492731446118
2;1492731446120;1492731446494
3;1492731446495;1492731446847
4;1492731446849;1492731447234
5;1492731447235;1492731447582
6;1492731447585;1492731447934
7;1492731447938;1492731448286
8;1492731448287;1492731448634
9;1492731448635;1492731448982
10;1492731448985;1492731449338
11;1492731449340;1492731449698
12;1492731449700;1492731450054
13;1492731450055;1492731450410
14;1492731450411;1492731450758
15;1492731450759;1492731451110
16;1492731451111;1492731451458
17;1492731451459;1492731451806
18;1492731451807;1492731452154
19;1492731452156;1492731452502
20;1492731452510;1492731452858
21;1492731452860;1492731453206
22;1492731453207;1492731453554
23;1492731453555;1492731453902
24;1492731453903;1492731454250
25;1492731454251;1492731454598
26;1492731454599;1492731454946
27;1492731454947;1492731455298
28;1492731455299;1492731455650
29;1492731455651;1492731456002
30;1492731456006;1492731456358
31;1492731456359;1492731456710
32;1492731456712;1492731457062
33;1492731457063;1492731457414
34;1492731457420;1492731457774
35;1492731457775;1492731458130
36;1492731458131;1492731458482
37;1492731458483;1492731458834
38;1492731458835;1492731459190
39;1492731459191;1492731459546
40;1492731459550;1492731459902
41;1492731459903;1492731460254
42;1492731460255;1492731460606
43;1492731460607;1492731460958
44;1492731460959;1492731461306
45;1492731461307;1492731461662
46;1492731461664;1492731462014
47;1492731462015;1492731462366
48;1492731462367;1492731462718
49;1492731462719;1492731463070
50;1492731463071;1492731463422
51;1492731463423;1492731463774
52;1492731463777;1492731464126
53;1492731464139;1492731464490
54;1492731464491;1492731464842
55;1492731464843;1492731465194
56;1492731465204;1492731465554
57;1492731465557;1492731465906
58;1492731465909;1492731466258
59;1492731466259;1492731466610
60;1492731466611;1492731466962
61;1492731466963;1492731467310
62;1492731467311;1492731467662
63;1492731467665;1492731468014
64;1492731468015;1492731468366
65;1492731468368;1492731468718
66;1492731468721;1492731469070
67;1492731469071;1492731469422
68;1492731469423;1492731469774
69;1492731469779;1492731470126
70;1492731470131;1492731470482
71;1492731470483;1492731470830
72;1492731470832;1492731471182
73;1492731471183;1492731471530
74;1492731471531;1492731471882
75;1492731471883;1492731472230
76;1492731472233;1492731472582
77;1492731472583;1492731472930
78;1492731472931;1492731473282
79;1492731473283;1492731473630
80;1492731473634;1492731473982
81;1492731473984;1492731474338
82;1492731474340;1492731474694
83;1492731474697;1492731475046
84;1492731475047;1492731475394
85;1492731475395;1492731475742
86;1492731475743;1492731476090
87;1492731476091;1492731476438
88;1492731476439;1492731476786
89;1492731476787;1492731477138
90;1492731477140;1492731477490
91;1492731477491;1492731477838
92;1492731477839;1492731478194
93;1492731478196;1492731478550
94;1492731478552;1492731478902
95;1492731478908;1492731479254
96;1492731479255;1492731479602
97;1492731479604;1492731479950
98;1492731479951;1492731480302
99;1492731480303;1492731480654
100;1492731480655;1492731481010
101;1492731481011;1492731481362
102;1492731481363;1492731481714
103;1492731481715;1492731482070
104;1492731482071;1492731482418
105;1492731482419;1492731482774
106;1492731482776;1492731483126
107;1492731483128;1492731483478
108;1492731483479;1492731483830
109;1492731483832;1492731484182
110;1492731484189;1492731484542
111;1492731484545;1492731484950
112;1492731484954;1492731485306
113;1492731485325;1492731485674
114;1492731485677;1492731486026
115;1492731486028;1492731486374
116;1492731486377;1492731486726
117;1492731486729;1492731487074
118;1492731487075;1492731487422
119;1492731487423;1492731487770
120;1492731487771;1492731488118
121;1492731488123;1492731488470
122;1492731488471;1492731488818
123;1492731488819;1492731489166
124;1492731489169;1492731489518
125;1492731489522;1492731489870
126;1492731489876;1492731490222
127;1492731490223;1492731490578
128;1492731490579;1492731490942
129;1492731490943;1492731491290
130;1492731491291;1492731491642
131;1492731491643;1492731491994
132;1492731491995;1492731492342
133;1492731492343;1492731492690
134;1492731492691;1492731493038
135;1492731493039;1492731493386
136;1492731493387;1492731493734
137;1492731493735;1492731494086
138;1492731494088;1492731494438
139;1492731494439;1492731494790
140;1492731494791;1492731495134
141;1492731495136;1492731495482
142;1492731495483;1492731495826
143;1492731495827;1492731496170
144;1492731496171;1492731496514
145;1492731496515;1492731496862
146;1492731496863;1492731497210
147;1492731497211;1492731497558
148;1492731497561;1492731497910
149;1492731497912;1492731498258
150;1492731498261;1492731498614
151;1492731498615;1492731498966
152;1492731498968;1492731499310
153;1492731499311;1492731499654
154;1492731499659;1492731500002
155;1492731500003;1492731500350
156;1492731500352;1492731500698
157;1492731500699;1492731501046
158;1492731502949;1492731503306
159;1492731503313;1492731503514
160;1492731503516;1492731503718
161;1492731503720;1492731503902
162;1492731503904;1492731504106
163;1492731504108;1492731504310
164;1492731504312;1492731504506
165;1492731504507;1492731504702
