T1-AntesDeConectar;T2-AposConectar
1491955191823;1491955655213

Contador;IniLoop
0;1491955655217
1;1491955655462
2;1491955655614
3;1491955655759
4;1491955655911
5;1491955656053
6;1491955656189
7;1491955656334
8;1491955656503
9;1491955656647
10;1491955656786
11;1491955656932
12;1491955657078
13;1491955657229
14;1491955657369
15;1491955657538
16;1491955657693
17;1491955657830
18;1491955657976
19;1491955658119
20;1491955658276
21;1491955658424
22;1491955658564
23;1491955658711
24;1491955658864
25;1491955659027
26;1491955659191
27;1491955659355
28;1491955659497
29;1491955659637
30;1491955659779
31;1491955659923
32;1491955660074
33;1491955660216
34;1491955660362
35;1491955660508
36;1491955660651
37;1491955660797
38;1491955660944
39;1491955661088
40;1491955661232
41;1491955661385
42;1491955661528
43;1491955661673
44;1491955661815
45;1491955661961
46;1491955662104
47;1491955662253
48;1491955662405
49;1491955662547
50;1491955662691
51;1491955662846
52;1491955662992
53;1491955663137
54;1491955663282
55;1491955663424
56;1491955663569
57;1491955663712
58;1491955663856
59;1491955664004
60;1491955664148
61;1491955664293
62;1491955664441
63;1491955664583
64;1491955664731
65;1491955664874
66;1491955665020
67;1491955665165
68;1491955665378
69;1491955665541
70;1491955665736
71;1491955665872
72;1491955666016
73;1491955666162
74;1491955666310
75;1491955666457
76;1491955666604
77;1491955666756
78;1491955666903
79;1491955667048
80;1491955667192
81;1491955667338
82;1491955667487
83;1491955667635
84;1491955667805
85;1491955667945
86;1491955668091
87;1491955668239
88;1491955668381
89;1491955668526
90;1491955668673
91;1491955668819
92;1491955668965
93;1491955669110
94;1491955669254
95;1491955669402
96;1491955669549
97;1491955669694
98;1491955669852
99;1491955669999
100;1491955670145
101;1491955670290
102;1491955670436
103;1491955670582
104;1491955670739
105;1491955670879
106;1491955671025
107;1491955671170
108;1491955671317
109;1491955671462
110;1491955671611
111;1491955671757
112;1491955671902
113;1491955672057
114;1491955672198
115;1491955672342
116;1491955672490
117;1491955672635
118;1491955672779
119;1491955672925
120;1491955673074
121;1491955673222
122;1491955673370
123;1491955673519
124;1491955673665
125;1491955673811
126;1491955673954
127;1491955674103
128;1491955674251
129;1491955674399
130;1491955674545
131;1491955674697
132;1491955674844
133;1491955674992
134;1491955675141
135;1491955675286
136;1491955675436
137;1491955675582
138;1491955675731
139;1491955675879
140;1491955676025
141;1491955676176
142;1491955676321
143;1491955676472
144;1491955676619
145;1491955676766
146;1491955676917
147;1491955677063
148;1491955677211
149;1491955677359
150;1491955677507
151;1491955677656
152;1491955677802
153;1491955677952
154;1491955678099
155;1491955678247
156;1491955678396
157;1491955678543
158;1491955678692
159;1491955678839
160;1491955678988
161;1491955679140
162;1491955679290
163;1491955679437
164;1491955679582
165;1491955679732
166;1491955679881
167;1491955680028
168;1491955680177
169;1491955680323
170;1491955680472
171;1491955680621
172;1491955680768
173;1491955680917
174;1491955681065
175;1491955681213
176;1491955681361
177;1491955681509
178;1491955681659
179;1491955681804
180;1491955681952
181;1491955682102
182;1491955682254
183;1491955682402
184;1491955682548
185;1491955682697
186;1491955682847
187;1491955682993
188;1491955683142
189;1491955683289
190;1491955683440
191;1491955683591
192;1491955683738
193;1491955683886
194;1491955684035
195;1491955684185
196;1491955684334
197;1491955684479
198;1491955684629
199;1491955684777
200;1491955684925
201;1491955685076
202;1491955685222
203;1491955685370
204;1491955685517
205;1491955685660
206;1491955685811
207;1491955685967
208;1491955686199
209;1491955686394
210;1491955686548
211;1491955686698
212;1491955686844
213;1491955686994
214;1491955687140
215;1491955687287
216;1491955687438
217;1491955687588
218;1491955687742
219;1491955687889
220;1491955688038
221;1491955688186
222;1491955688348
223;1491955688490
224;1491955688640
225;1491955688793
226;1491955688941
227;1491955689088
228;1491955689240
229;1491955689385
230;1491955689540
231;1491955689685
232;1491955689833
233;1491955689983
234;1491955690136
235;1491955690284
236;1491955690444
237;1491955690605
238;1491955690756
239;1491955690906
240;1491955691053
241;1491955691209
242;1491955691358
243;1491955691507
244;1491955691659
245;1491955691809
246;1491955691955
247;1491955692106
