Tarefa;T1-AntesDoEnvio;T2-AposReceberResposta
0;1491933362874;1491933363009
1;1491933363011;1491933363088
2;1491933363089;1491933363173
3;1491933363175;1491933363261
4;1491933363262;1491933363345
5;1491933363350;1491933363433
6;1491933363435;1491933363517
7;1491933363519;1491933363597
8;1491933363598;1491933363677
9;1491933363678;1491933363757
10;1491933363758;1491933363837
11;1491933363838;1491933363917
12;1491933363918;1491933363997
13;1491933363998;1491933364077
14;1491933364078;1491933364157
15;1491933364158;1491933364237
16;1491933364238;1491933364317
17;1491933364319;1491933364397
18;1491933364400;1491933364481
19;1491933364482;1491933364561
20;1491933364562;1491933364641
21;1491933364642;1491933364721
22;1491933364722;1491933364801
23;1491933364802;1491933364881
24;1491933364882;1491933364961
25;1491933364963;1491933365041
26;1491933365042;1491933365121
27;1491933365122;1491933365201
28;1491933365202;1491933365281
29;1491933365282;1491933365361
30;1491933365362;1491933365441
31;1491933365442;1491933365524
32;1491933365525;1491933365609
33;1491933365610;1491933365689
34;1491933365690;1491933365769
35;1491933365770;1491933365849
36;1491933365850;1491933365929
37;1491933365930;1491933366009
38;1491933366010;1491933366089
39;1491933366090;1491933366169
40;1491933366170;1491933366249
41;1491933366250;1491933366329
42;1491933366330;1491933366409
43;1491933366410;1491933366489
44;1491933366490;1491933366569
45;1491933366570;1491933366653
46;1491933366654;1491933366733
47;1491933366734;1491933366813
48;1491933366814;1491933366893
49;1491933366894;1491933366973
50;1491933366974;1491933367053
51;1491933367054;1491933367133
52;1491933367134;1491933367213
53;1491933367214;1491933367293
54;1491933367294;1491933367373
55;1491933367374;1491933367453
56;1491933367454;1491933367536
57;1491933367537;1491933367617
58;1491933367618;1491933367697
59;1491933367698;1491933367777
60;1491933367778;1491933367857
61;1491933367858;1491933367937
62;1491933367938;1491933368017
63;1491933368018;1491933368097
64;1491933368098;1491933368177
65;1491933368188;1491933368272
66;1491933368273;1491933368353
67;1491933368354;1491933368433
68;1491933368434;1491933368513
69;1491933368514;1491933368593
70;1491933368594;1491933368673
71;1491933368674;1491933368753
72;1491933368754;1491933368833
73;1491933368834;1491933368917
74;1491933368918;1491933368997
75;1491933368998;1491933369077
76;1491933369079;1491933369161
77;1491933369162;1491933369241
78;1491933369242;1491933369321
79;1491933369322;1491933369401
