Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1491933362153;1491933362873
1;1491933363009;1491933363011
2;1491933363088;1491933363089
3;1491933363173;1491933363175
4;1491933363261;1491933363262
5;1491933363345;1491933363350
6;1491933363433;1491933363435
7;1491933363517;1491933363519
8;1491933363597;1491933363598
9;1491933363677;1491933363678
10;1491933363757;1491933363758
11;1491933363837;1491933363838
12;1491933363917;1491933363918
13;1491933363997;1491933363998
14;1491933364077;1491933364078
15;1491933364157;1491933364158
16;1491933364237;1491933364238
17;1491933364317;1491933364319
18;1491933364397;1491933364400
19;1491933364481;1491933364482
20;1491933364561;1491933364562
21;1491933364641;1491933364642
22;1491933364721;1491933364722
23;1491933364801;1491933364802
24;1491933364881;1491933364882
25;1491933364961;1491933364963
26;1491933365041;1491933365042
27;1491933365121;1491933365122
28;1491933365201;1491933365202
29;1491933365281;1491933365282
30;1491933365361;1491933365362
31;1491933365441;1491933365442
32;1491933365524;1491933365525
33;1491933365609;1491933365610
34;1491933365689;1491933365690
35;1491933365769;1491933365770
36;1491933365849;1491933365850
37;1491933365929;1491933365930
38;1491933366009;1491933366010
39;1491933366089;1491933366090
40;1491933366169;1491933366170
41;1491933366249;1491933366250
42;1491933366329;1491933366330
43;1491933366409;1491933366410
44;1491933366489;1491933366490
45;1491933366569;1491933366570
46;1491933366653;1491933366654
47;1491933366733;1491933366734
48;1491933366813;1491933366814
49;1491933366893;1491933366894
50;1491933366973;1491933366974
51;1491933367053;1491933367054
52;1491933367133;1491933367134
53;1491933367213;1491933367214
54;1491933367293;1491933367294
55;1491933367373;1491933367374
56;1491933367453;1491933367454
57;1491933367536;1491933367537
58;1491933367617;1491933367618
59;1491933367697;1491933367698
60;1491933367777;1491933367778
61;1491933367857;1491933367858
62;1491933367937;1491933367938
63;1491933368017;1491933368018
64;1491933368097;1491933368098
65;1491933368177;1491933368188
66;1491933368272;1491933368273
67;1491933368353;1491933368354
68;1491933368433;1491933368434
69;1491933368513;1491933368514
70;1491933368593;1491933368594
71;1491933368673;1491933368674
72;1491933368753;1491933368754
73;1491933368833;1491933368834
74;1491933368917;1491933368918
75;1491933368997;1491933368998
76;1491933369077;1491933369079
77;1491933369161;1491933369162
78;1491933369241;1491933369242
79;1491933369321;1491933369322
80;1491933369401;1491933369402
81;1491933369484;1491933369485
82;1491933369569;1491933369570
83;1491933369649;1491933369650
84;1491933369729;1491933369730
85;1491933369809;1491933369810
86;1491933369889;1491933369890
87;1491933369969;1491933369970
88;1491933370053;1491933370054
89;1491933370133;1491933370134
90;1491933370213;1491933370214
91;1491933370293;1491933370294
92;1491933370373;1491933370374
93;1491933370453;1491933370454
94;1491933370537;1491933370538
95;1491933370617;1491933370618
96;1491933370697;1491933370698
97;1491933370777;1491933370778
98;1491933370857;1491933370858
99;1491933370937;1491933370938
100;1491933371020;1491933371021
101;1491933371101;1491933371102
102;1491933371181;1491933371182
103;1491933371261;1491933371262
104;1491933371341;1491933371342
105;1491933371424;1491933371425
106;1491933371505;1491933371506
107;1491933371585;1491933371586
108;1491933371665;1491933371666
109;1491933371745;1491933371746
110;1491933371828;1491933371829
111;1491933371913;1491933371914
112;1491933371993;1491933371994
113;1491933372073;1491933372074
114;1491933372153;1491933372154
115;1491933372236;1491933372237
116;1491933372321;1491933372322
117;1491933372404;1491933372405
118;1491933372488;1491933372489
119;1491933372572;1491933372573
120;1491933372657;1491933372658
121;1491933372740;1491933372743
122;1491933372825;1491933372827
123;1491933372909;1491933372910
124;1491933372992;1491933372993
125;1491933373077;1491933373078
126;1491933373160;1491933373161
127;1491933373244;1491933373245
128;1491933373328;1491933373329
129;1491933373413;1491933373414
130;1491933373497;1491933373498
131;1491933373581;1491933373582
132;1491933373665;1491933373666
133;1491933373749;1491933373750
134;1491933373833;1491933373834
135;1491933373917;1491933373918
136;1491933374001;1491933374002
137;1491933374085;1491933374086
138;1491933374169;1491933374170
139;1491933374253;1491933374254
140;1491933374337;1491933374338
141;1491933374421;1491933374422
142;1491933374505;1491933374506
143;1491933374589;1491933374590
144;1491933374673;1491933374674
145;1491933374760;1491933374764
146;1491933374849;1491933374852
147;1491933374937;1491933374938
148;1491933375021;1491933375022
149;1491933375105;1491933375106
150;1491933375189;1491933375190
151;1491933375273;1491933375274
152;1491933375357;1491933375358
153;1491933375441;1491933375442
154;1491933375525;1491933375526
155;1491933375609;1491933375610
156;1491933375693;1491933375694
157;1491933375777;1491933375778
158;1491933375861;1491933375862
159;1491933375945;1491933375946
160;1491933376029;1491933376030
161;1491933376113;1491933376114
162;1491933376197;1491933376198
163;1491933376281;1491933376282
164;1491933376365;1491933376366
165;1491933376449;1491933376450
166;1491933376533;1491933376534
167;1491933376621;1491933376622
168;1491933376705;1491933376706
169;1491933376789;1491933376790
170;1491933376873;1491933376874
171;1491933376957;1491933376958
172;1491933377041;1491933377042
173;1491933377125;1491933377126
174;1491933377209;1491933377210
175;1491933377293;1491933377294
176;1491933377377;1491933377378
177;1491933377461;1491933377462
178;1491933377545;1491933377546
179;1491933377629;1491933377630
180;1491933377713;1491933377714
181;1491933377797;1491933377798
182;1491933377881;1491933377882
183;1491933377965;1491933377966
184;1491933378049;1491933378050
185;1491933378133;1491933378134
186;1491933378225;1491933378226
187;1491933378309;1491933378310
188;1491933378393;1491933378394
189;1491933378477;1491933378478
190;1491933378561;1491933378562
191;1491933378645;1491933378646
192;1491933378729;1491933378730
193;1491933378813;1491933378814
194;1491933378897;1491933378898
195;1491933378981;1491933378982
196;1491933379065;1491933379066
197;1491933379149;1491933379150
198;1491933379233;1491933379234
199;1491933379321;1491933379322
200;1491933379405;1491933379406
201;1491933379489;1491933379490
202;1491933379573;1491933379574
203;1491933379657;1491933379658
204;1491933379741;1491933379742
205;1491933379825;1491933379826
206;1491933379909;1491933379910
207;1491933379993;1491933379994
208;1491933380077;1491933380078
209;1491933380161;1491933380162
210;1491933380245;1491933380248
211;1491933380333;1491933380333
212;1491933380417;1491933380418
213;1491933380501;1491933380502
214;1491933380585;1491933380586
215;1491933380669;1491933380670
216;1491933380753;1491933380754
217;1491933380837;1491933380838
218;1491933380921;1491933380922
219;1491933381005;1491933381006
220;1491933381089;1491933381090
221;1491933381173;1491933381174
222;1491933381264;1491933381265
223;1491933381349;1491933381350
224;1491933381433;1491933381434
225;1491933381520;1491933381522
226;1491933381608;1491933381609
227;1491933381696;1491933381697
228;1491933381781;1491933381782
229;1491933381868;1491933381869
230;1491933381953;1491933381956
231;1491933382041;1491933382042
232;1491933382128;1491933382129
233;1491933382213;1491933382214
234;1491933382300;1491933382301
235;1491933382385;1491933382386
236;1491933382469;1491933382470
237;1491933382556;1491933382557
238;1491933382641;1491933382642
239;1491933382729;1491933382730
240;1491933382813;1491933382814
241;1491933382901;1491933382902
242;1491933382985;1491933382986
243;1491933383072;1491933383073
244;1491933383161;1491933383162
245;1491933383248;1491933383249
246;1491933383337;1491933383338
247;1491933383424;1491933383425
248;1491933383513;1491933383514
249;1491933383600;1491933383601
250;1491933383688;1491933383689
251;1491933383777;1491933383778
252;1491933383864;1491933383865
253;1491933383953;1491933383954
254;1491933384040;1491933384041
255;1491933384129;1491933384130
256;1491933384225;1491933384226
257;1491933384313;1491933384314
258;1491933384400;1491933384401
259;1491933384489;1491933384490
260;1491933384577;1491933384578
261;1491933384665;1491933384666
262;1491933384753;1491933384754
263;1491933384841;1491933384842
264;1491933384929;1491933384930
265;1491933385017;1491933385018
266;1491933385105;1491933385106
267;1491933385193;1491933385194
268;1491933385281;1491933385282
269;1491933385369;1491933385370
270;1491933385457;1491933385458
271;1491933385545;1491933385546
272;1491933385633;1491933385634
273;1491933385721;1491933385722
274;1491933385809;1491933385810
275;1491933385897;1491933385898
276;1491933385985;1491933385986
277;1491933386073;1491933386074
278;1491933386161;1491933386162
279;1491933386249;1491933386250
280;1491933386337;1491933386338
281;1491933386425;1491933386426
282;1491933386513;1491933386514
283;1491933386601;1491933386602
284;1491933386689;1491933386690
285;1491933386777;1491933386778
286;1491933386865;1491933386866
287;1491933386953;1491933386954
288;1491933387041;1491933387042
289;1491933387129;1491933387130
290;1491933387217;1491933387218
291;1491933387305;1491933387306
292;1491933387393;1491933387394
293;1491933387481;1491933387482
294;1491933387569;1491933387570
295;1491933387657;1491933387658
296;1491933387745;1491933387746
297;1491933387833;1491933387834
298;1491933387921;1491933387922
299;1491933388009;1491933388010
300;1491933388097;1491933388098
301;1491933388185;1491933388186
302;1491933388273;1491933388274
303;1491933388361;1491933388362
304;1491933388449;1491933388450
305;1491933388537;1491933388538
306;1491933388625;1491933388626
307;1491933388713;1491933388714
308;1491933388801;1491933388802
309;1491933388889;1491933388890
310;1491933388977;1491933388978
311;1491933389073;1491933389074
312;1491933389161;1491933389162
313;1491933389249;1491933389250
314;1491933389337;1491933389338
315;1491933389425;1491933389426
316;1491933389513;1491933389514
317;1491933389601;1491933389602
318;1491933389689;1491933389690
319;1491933389777;1491933389778
320;1491933389865;1491933389866
321;1491933389953;1491933389954
322;1491933390041;1491933390042
323;1491933390129;1491933390130
324;1491933390217;1491933390218
325;1491933390305;1491933390306
326;1491933390393;1491933390394
327;1491933390481;1491933390482
328;1491933390569;1491933390570
329;1491933390657;1491933390658
330;1491933390745;1491933390746
331;1491933390833;1491933390834
332;1491933390921;1491933390922
333;1491933391009;1491933391011
334;1491933391101;1491933391102
335;1491933391189;1491933391190
336;1491933391277;1491933391278
337;1491933391365;1491933391366
338;1491933391453;1491933391454
339;1491933391541;1491933391542
340;1491933391629;1491933391630
341;1491933391717;1491933391718
342;1491933391805;1491933391806
343;1491933391893;1491933391894
344;1491933391981;1491933391982
345;1491933392069;1491933392070
346;1491933392157;1491933392158
347;1491933392245;1491933392246
348;1491933392333;1491933392334
349;1491933392421;1491933392422
350;1491933392509;1491933392510
351;1491933392601;1491933392602
352;1491933392689;1491933392690
353;1491933392777;1491933392778
354;1491933392868;1491933392869
355;1491933392957;1491933392958
356;1491933393048;1491933393050
357;1491933393137;1491933393146
358;1491933393237;1491933393238
359;1491933393328;1491933393329
360;1491933393417;1491933393418
361;1491933393509;1491933393510
362;1491933393600;1491933393601
363;1491933393688;1491933393690
364;1491933393780;1491933393781
365;1491933393872;1491933393873
366;1491933393961;1491933393962
367;1491933394053;1491933394054
368;1491933394144;1491933394145
369;1491933394233;1491933394234
370;1491933394325;1491933394326
371;1491933394416;1491933394417
372;1491933394505;1491933394506
373;1491933394597;1491933394598
374;1491933394688;1491933394689
375;1491933394781;1491933394782
376;1491933394873;1491933394874
377;1491933394965;1491933394966
378;1491933395056;1491933395057
379;1491933395149;1491933395150
380;1491933395241;1491933395243
381;1491933395333;1491933395334
382;1491933395425;1491933395426
383;1491933395517;1491933395518
384;1491933395608;1491933395609
385;1491933395701;1491933395702
386;1491933395792;1491933395794
387;1491933395884;1491933395885
388;1491933395977;1491933395978
389;1491933396069;1491933396070
390;1491933396161;1491933396162
391;1491933396253;1491933396254
392;1491933396345;1491933396346
393;1491933396437;1491933396438
394;1491933396529;1491933396532
395;1491933396625;1491933396626
396;1491933396717;1491933396718
397;1491933396809;1491933396810
398;1491933396901;1491933396902
399;1491933396998;1491933396999
400;1491933397093;1491933397094
401;1491933397185;1491933397186
402;1491933397277;1491933397278
403;1491933397369;1491933397370
404;1491933397461;1491933397463
405;1491933397552;1491933397554
406;1491933397645;1491933397646
407;1491933397737;1491933397738
408;1491933397829;1491933397830
409;1491933397921;1491933397922
410;1491933398013;1491933398014
411;1491933398105;1491933398106
412;1491933398197;1491933398199
413;1491933398293;1491933398294
414;1491933398385;1491933398386
415;1491933398477;1491933398478
416;1491933398572;1491933398573
417;1491933398665;1491933398666
418;1491933398757;1491933398758
419;1491933398849;1491933398850
420;1491933398941;1491933398942
421;1491933399033;1491933399034
422;1491933399125;1491933399126
423;1491933399217;1491933399218
424;1491933399309;1491933399310
425;1491933399401;1491933399402
426;1491933399493;1491933399494
427;1491933399585;1491933399586
428;1491933399677;1491933399678
429;1491933399769;1491933399770
430;1491933399861;1491933399862
431;1491933399953;1491933399954
432;1491933400045;1491933400046
433;1491933400137;1491933400138
434;1491933400229;1491933400230
435;1491933400321;1491933400322
436;1491933400413;1491933400420
437;1491933400512;1491933400514
438;1491933400605;1491933400606
439;1491933400697;1491933400698
440;1491933400789;1491933400790
441;1491933400881;1491933400882
442;1491933400973;1491933400974
443;1491933401065;1491933401066
444;1491933401157;1491933401158
445;1491933401249;1491933401250
446;1491933401341;1491933401342
447;1491933401433;1491933401434
448;1491933401525;1491933401526
449;1491933401617;1491933401618
450;1491933401712;1491933401713
451;1491933401805;1491933401806
452;1491933401900;1491933401901
453;1491933401993;1491933401994
454;1491933402085;1491933402086
455;1491933402177;1491933402178
456;1491933402269;1491933402270
457;1491933402361;1491933402362
458;1491933402453;1491933402454
459;1491933402545;1491933402546
460;1491933402637;1491933402638
461;1491933402729;1491933402730
462;1491933402821;1491933402822
463;1491933402913;1491933402915
464;1491933403009;1491933403010
465;1491933403101;1491933403102
466;1491933403193;1491933403194
467;1491933403285;1491933403286
468;1491933403380;1491933403381
469;1491933403473;1491933403474
470;1491933403565;1491933403566
471;1491933403658;1491933403659
472;1491933403753;1491933403754
473;1491933403849;1491933403850
474;1491933403941;1491933403942
475;1491933404037;1491933404038
476;1491933404132;1491933404133
477;1491933404225;1491933404226
478;1491933404320;1491933404321
479;1491933404413;1491933404414
480;1491933404505;1491933404506
481;1491933404597;1491933404598
482;1491933404692;1491933404693
483;1491933404785;1491933404786
484;1491933404880;1491933404881
485;1491933404976;1491933404977
486;1491933405069;1491933405070
487;1491933405164;1491933405165
488;1491933405260;1491933405261
489;1491933405356;1491933405359
490;1491933405453;1491933405456
491;1491933405552;1491933405553
492;1491933405648;1491933405649
493;1491933405741;1491933405742
494;1491933405836;1491933405837
495;1491933405932;1491933405933
496;1491933406029;1491933406030
497;1491933406125;1491933406126
498;1491933406221;1491933406222
499;1491933406317;1491933406318
500;1491933406413;1491933406415
501;1491933406513;1491933406514
502;1491933406605;1491933406606
503;1491933406702;1491933406703
504;1491933406801;1491933406802
505;1491933406897;1491933406898
